Round,a\b,G,C,P
Round 1
,G,2,6,92
,C,0,0,0
,P,0,0,0

Round 2
,G,0,23,10
,C,10,1,22
,P,23,10,1

Round 3
,G,9,7,17
,C,18,8,7
,P,7,18,9

Round 4
,G,9,2,22
,C,23,8,2
,P,2,24,8

Round 5
,G,33,0,0
,C,0,33,0
,P,0,0,34

Round 6
,G,13,3,17
,C,17,12,4
,P,2,18,14

Round 7
,G,15,18,0
,C,0,16,17
,P,19,0,15

Round 8
,G,12,17,4
,C,4,11,18
,P,16,5,13

Round 9
,G,13,0,20
,C,18,15,0
,P,0,19,15

Round 10
,G,1,18,2
,C,1,1,37
,P,18,20,2

Round 11
,G,8,1,41
,C,0,0,0
,P,39,1,10

Round 12
,G,21,1,28
,C,0,0,0
,P,28,2,20

Round 13
,G,24,1,25
,C,0,0,0
,P,24,1,25

Round 14
,G,25,1,24
,C,0,0,0
,P,23,0,27

Round 15
,G,27,1,22
,C,0,0,0
,P,22,0,28

Round 16
,G,38,0,12
,C,0,0,0
,P,11,0,39

Round 17
,G,24,0,26
,C,0,0,0
,P,25,0,25

Round 18
,G,36,1,13
,C,0,0,0
,P,13,1,36

Round 19
,G,28,0,22
,C,0,0,0
,P,22,0,28

Round 20
,G,40,0,10
,C,0,0,0
,P,10,0,40

Round 21
,G,2,4,44
,C,0,0,0
,P,47,0,3

Round 22
,G,0,4,45
,C,0,0,1
,P,47,1,2

Round 23
,G,1,3,45
,C,1,1,0
,P,45,1,3

Round 24
,G,0,6,44
,C,0,0,0
,P,49,0,1

Round 25
,G,2,3,45
,C,0,0,0
,P,47,0,3

Round 26
,G,0,2,48
,C,0,0,0
,P,49,0,1

Round 27
,G,0,2,47
,C,1,0,0
,P,46,1,3

Round 28
,G,1,5,44
,C,0,0,0
,P,45,0,5

Round 29
,G,2,6,40
,C,3,0,0
,P,41,3,5

Round 30
,G,1,4,44
,C,1,0,0
,P,45,1,4

Round 31
,G,13,0,37
,C,0,0,0
,P,36,1,13

Round 32
,G,50,0,0
,C,0,0,0
,P,0,1,49

Round 33
,G,34,1,15
,C,0,0,0
,P,15,0,35

Round 34
,G,35,1,14
,C,0,0,0
,P,15,0,35

Round 35
,G,19,0,31
,C,0,0,0
,P,30,0,20

Round 36
,G,38,0,12
,C,0,0,0
,P,11,3,36

Round 37
,G,10,0,40
,C,0,0,0
,P,40,0,10

Round 38
,G,48,0,2
,C,0,0,0
,P,2,3,45

Round 39
,G,50,0,0
,C,0,0,0
,P,0,1,49

Round 40
,G,25,1,24
,C,0,0,0
,P,24,1,25

Round 41
,G,15,1,34
,C,0,0,0
,P,34,1,15

Round 42
,G,33,0,17
,C,0,0,0
,P,16,0,34

Round 43
,G,23,1,26
,C,0,0,0
,P,26,0,24

Round 44
,G,37,2,11
,C,0,0,0
,P,12,1,37

Round 45
,G,17,0,33
,C,0,0,0
,P,34,0,16

Round 46
,G,11,1,38
,C,0,0,0
,P,39,0,11

Round 47
,G,50,0,0
,C,0,0,0
,P,1,0,49

Round 48
,G,38,1,11
,C,0,0,0
,P,11,1,38

Round 49
,G,1,1,48
,C,0,0,0
,P,50,0,0

Round 50
,G,12,2,36
,C,0,0,0
,P,37,0,13

Round 51
,G,50,0,0
,C,0,0,0
,P,0,2,48

Round 52
,G,20,1,29
,C,0,0,0
,P,30,1,19

Round 53
,G,21,1,28
,C,0,0,0
,P,28,0,22

Round 54
,G,36,1,13
,C,0,0,0
,P,12,1,37

Round 55
,G,9,1,40
,C,0,0,0
,P,40,0,10

Round 56
,G,15,0,35
,C,0,0,0
,P,34,0,16

Round 57
,G,44,0,6
,C,0,0,0
,P,6,0,44

Round 58
,G,41,0,9
,C,0,0,0
,P,8,0,42

Round 59
,G,31,2,17
,C,0,0,0
,P,19,0,31

Round 60
,G,50,0,0
,C,0,0,0
,P,0,1,49

Round 61
,G,20,1,29
,C,0,0,0
,P,28,1,21

Round 62
,G,7,1,42
,C,0,0,0
,P,39,2,9

Round 63
,G,37,1,12
,C,0,0,0
,P,12,0,38

Round 64
,G,41,0,9
,C,0,0,0
,P,8,1,41

Round 65
,G,5,1,44
,C,0,0,0
,P,44,0,6

Round 66
,G,8,1,41
,C,0,0,0
,P,41,1,8

Round 67
,G,39,1,10
,C,0,0,0
,P,11,0,39

Round 68
,G,47,1,2
,C,0,0,0
,P,2,0,48

Round 69
,G,31,1,18
,C,0,0,0
,P,17,1,32

Round 70
,G,43,0,7
,C,0,0,0
,P,6,0,44

Round 71
,G,32,1,17
,C,0,0,0
,P,18,1,31

Round 72
,G,32,0,18
,C,0,0,0
,P,17,1,32

Round 73
,G,31,1,18
,C,0,0,0
,P,19,1,30

Round 74
,G,22,0,28
,C,0,0,0
,P,27,0,23

Round 75
,G,26,1,23
,C,0,0,0
,P,24,0,26

Round 76
,G,0,2,48
,C,0,0,0
,P,49,0,1

Round 77
,G,9,0,41
,C,0,0,0
,P,40,0,10

Round 78
,G,32,1,17
,C,0,0,0
,P,15,2,33

Round 79
,G,44,1,5
,C,0,0,0
,P,5,1,44

Round 80
,G,39,1,10
,C,0,0,0
,P,9,0,41

Round 81
,G,43,0,7
,C,0,0,0
,P,7,1,42

Round 82
,G,40,0,10
,C,0,0,0
,P,10,1,39

Round 83
,G,8,1,41
,C,0,0,0
,P,40,1,9

Round 84
,G,19,1,30
,C,0,0,0
,P,29,1,20

Round 85
,G,22,0,28
,C,0,0,0
,P,23,5,22

Round 86
,G,1,0,49
,C,0,0,0
,P,49,0,1

Round 87
,G,42,0,8
,C,0,0,0
,P,7,1,42

Round 88
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 89
,G,4,2,44
,C,0,0,0
,P,45,1,4

Round 90
,G,2,0,48
,C,0,0,0
,P,47,1,2

Round 91
,G,11,0,39
,C,0,0,0
,P,38,1,11

Round 92
,G,22,1,27
,C,0,0,0
,P,27,2,21

Round 93
,G,16,2,32
,C,0,0,0
,P,31,4,15

Round 94
,G,33,0,17
,C,0,0,0
,P,16,2,32

Round 95
,G,44,0,6
,C,0,0,0
,P,6,0,44

Round 96
,G,11,1,38
,C,0,0,0
,P,38,1,11

Round 97
,G,16,1,33
,C,0,0,0
,P,31,4,15

Round 98
,G,49,0,1
,C,0,0,0
,P,0,0,50

Round 99
,G,16,1,33
,C,0,0,0
,P,33,0,17

Round 100
,G,10,1,39
,C,0,0,0
,P,38,2,10

Round 101
,G,10,1,39
,C,0,0,0
,P,38,1,11

Round 102
,G,25,2,23
,C,0,0,0
,P,24,2,24

Round 103
,G,13,0,37
,C,0,0,0
,P,36,0,14

Round 104
,G,28,1,21
,C,0,0,0
,P,20,2,28

Round 105
,G,35,0,15
,C,0,0,0
,P,14,1,35

Round 106
,G,30,1,19
,C,0,0,0
,P,18,1,31

Round 107
,G,27,0,23
,C,0,0,0
,P,22,1,27

Round 108
,G,9,1,40
,C,0,0,0
,P,40,0,10

Round 109
,G,15,0,35
,C,0,0,0
,P,35,0,15

Round 110
,G,25,1,24
,C,0,0,0
,P,23,1,26

Round 111
,G,17,1,32
,C,0,0,0
,P,32,1,17

Round 112
,G,11,0,39
,C,0,0,0
,P,37,1,12

Round 113
,G,23,1,26
,C,0,0,0
,P,25,1,24

Round 114
,G,26,0,24
,C,0,0,0
,P,22,2,26

Round 115
,G,16,2,32
,C,0,0,0
,P,34,0,16

Round 116
,G,6,0,44
,C,0,0,0
,P,43,0,7

Round 117
,G,11,2,37
,C,0,0,0
,P,38,0,12

Round 118
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 119
,G,44,0,6
,C,0,0,0
,P,6,0,44

Round 120
,G,14,1,35
,C,0,0,0
,P,34,3,13

Round 121
,G,29,1,20
,C,0,0,0
,P,21,1,28

Round 122
,G,7,0,43
,C,0,0,0
,P,42,0,8

Round 123
,G,1,3,46
,C,0,0,0
,P,48,0,2

Round 124
,G,9,1,40
,C,0,0,0
,P,40,1,9

Round 125
,G,19,0,31
,C,0,0,0
,P,28,2,20

Round 126
,G,19,0,31
,C,0,0,0
,P,31,1,18

Round 127
,G,29,1,20
,C,0,0,0
,P,20,1,29

Round 128
,G,48,0,2
,C,0,0,0
,P,2,1,47

Round 129
,G,31,2,17
,C,0,0,0
,P,19,0,31

Round 130
,G,30,0,20
,C,0,0,0
,P,21,0,29

Round 131
,G,25,3,22
,C,0,0,0
,P,23,1,26

Round 132
,G,40,2,8
,C,0,0,0
,P,8,1,41

Round 133
,G,34,0,16
,C,0,0,0
,P,15,1,34

Round 134
,G,46,0,4
,C,0,0,0
,P,4,0,46

Round 135
,G,23,1,26
,C,0,0,0
,P,24,2,24

Round 136
,G,27,2,21
,C,0,0,0
,P,22,0,28

Round 137
,G,23,0,27
,C,0,0,0
,P,27,1,22

Round 138
,G,11,0,39
,C,0,0,0
,P,39,0,11

Round 139
,G,35,2,13
,C,0,0,0
,P,14,1,35

Round 140
,G,22,2,26
,C,0,0,0
,P,29,0,21

Round 141
,G,19,0,31
,C,0,0,0
,P,30,1,19

Round 142
,G,35,1,14
,C,0,0,0
,P,16,0,34

Round 143
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 144
,G,35,2,13
,C,0,0,0
,P,13,1,36

Round 145
,G,22,0,28
,C,0,0,0
,P,25,3,22

Round 146
,G,49,0,1
,C,0,0,0
,P,0,1,49

Round 147
,G,10,1,39
,C,0,0,0
,P,40,0,10

Round 148
,G,35,1,14
,C,0,0,0
,P,13,1,36

Round 149
,G,5,1,44
,C,0,0,0
,P,44,1,5

Round 150
,G,28,1,21
,C,0,0,0
,P,22,1,27

Round 151
,G,5,1,44
,C,0,0,0
,P,44,0,6

Round 152
,G,21,0,29
,C,0,0,0
,P,28,1,21

Round 153
,G,22,2,26
,C,0,0,0
,P,27,0,23

Round 154
,G,29,1,20
,C,0,0,0
,P,20,0,30

Round 155
,G,39,1,10
,C,0,0,0
,P,10,1,39

Round 156
,G,8,2,40
,C,0,0,0
,P,41,0,9

Round 157
,G,19,1,30
,C,0,0,0
,P,30,1,19

Round 158
,G,2,0,48
,C,0,0,0
,P,46,1,3

Round 159
,G,17,2,31
,C,0,0,0
,P,32,1,17

Round 160
,G,27,2,21
,C,0,0,0
,P,21,0,29

Round 161
,G,32,1,17
,C,0,0,0
,P,17,1,32

Round 162
,G,27,0,23
,C,0,0,0
,P,21,3,26

Round 163
,G,32,2,16
,C,0,0,0
,P,19,0,31

Round 164
,G,23,0,27
,C,0,0,0
,P,27,1,22

Round 165
,G,40,1,9
,C,0,0,0
,P,10,1,39

Round 166
,G,2,4,44
,C,0,0,0
,P,47,1,2

Round 167
,G,15,1,34
,C,0,0,0
,P,31,3,16

Round 168
,G,7,0,43
,C,0,0,0
,P,39,3,8

Round 169
,G,10,2,38
,C,0,0,0
,P,38,2,10

Round 170
,G,0,0,50
,C,0,0,0
,P,48,2,0

Round 171
,G,4,0,46
,C,0,0,0
,P,46,0,4

Round 172
,G,10,1,39
,C,0,0,0
,P,38,2,10

Round 173
,G,31,0,19
,C,0,0,0
,P,16,1,33

Round 174
,G,34,1,15
,C,0,0,0
