Round,a\b,G,C,P
Round 1
,G,0,0,0
,C,0,0,0
,P,100,0,0

Round 2
,G,0,0,0
,C,0,0,0
,P,1,97,2

Round 3
,G,0,8,0
,C,0,3,0
,P,0,89,0

Round 4
,G,0,25,15
,C,0,0,0
,P,2,27,31

Round 5
,G,9,12,11
,C,0,21,12
,P,0,13,22

Round 6
,G,21,6,6
,C,6,22,5
,P,6,6,22

Round 7
,G,14,0,20
,C,19,13,0
,P,0,20,14

Round 8
,G,29,3,1
,C,2,29,2
,P,1,2,31

Round 9
,G,18,0,14
,C,15,19,0
,P,0,14,20

Round 10
,G,23,3,7
,C,5,26,2
,P,3,7,24

Round 11
,G,0,3,30
,C,29,1,3
,P,4,29,1

Round 12
,G,12,21,0
,C,0,13,20
,P,21,0,13

Round 13
,G,28,0,6
,C,5,27,0
,P,0,6,28

Round 14
,G,20,10,3
,C,2,21,10
,P,11,4,19

Round 15
,G,11,11,11
,C,11,12,10
,P,11,10,13

Round 16
,G,7,0,26
,C,26,7,0
,P,0,26,8

Round 17
,G,14,15,5
,C,5,14,15
,P,14,4,14

Round 18
,G,15,18,0
,C,0,15,18
,P,18,0,16

Round 19
,G,2,1,4
,C,29,1,2
,P,2,31,28

Round 20
,G,0,0,1
,C,15,1,26
,P,2,40,15

Round 21
,G,18,15,15
,C,0,2,0
,P,15,16,19

Round 22
,G,22,3,24
,C,0,0,1
,P,28,0,22

Round 23
,G,26,0,24
,C,0,0,2
,P,24,0,24

Round 24
,G,5,2,42
,C,1,0,0
,P,44,0,6

Round 25
,G,0,0,48
,C,1,0,0
,P,49,0,2

Round 26
,G,39,0,10
,C,1,0,0
,P,10,3,37

Round 27
,G,24,0,25
,C,1,0,2
,P,25,0,23

Round 28
,G,1,1,47
,C,1,0,0
,P,47,0,3

Round 29
,G,11,0,37
,C,2,0,0
,P,37,0,13

Round 30
,G,16,1,33
,C,0,0,0
,P,33,0,17

Round 31
,G,39,0,10
,C,2,0,1
,P,9,0,39

Round 32
,G,41,0,9
,C,0,0,0
,P,9,1,40

Round 33
,G,46,0,4
,C,0,0,2
,P,4,0,44

Round 34
,G,46,1,3
,C,0,0,0
,P,3,0,47

Round 35
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 36
,G,5,0,45
,C,0,0,0
,P,44,0,6

Round 37
,G,10,0,38
,C,3,0,1
,P,37,0,11

Round 38
,G,26,1,23
,C,0,0,0
,P,24,0,26

Round 39
,G,36,0,11
,C,2,0,1
,P,12,0,38

Round 40
,G,26,1,23
,C,0,0,0
,P,24,1,25

Round 41
,G,0,0,48
,C,4,0,0
,P,46,0,2

Round 42
,G,0,1,47
,C,3,0,0
,P,45,2,2

Round 43
,G,0,2,46
,C,2,0,2
,P,47,1,0

Round 44
,G,2,0,44
,C,7,0,0
,P,40,3,4

Round 45
,G,0,2,46
,C,3,0,2
,P,46,0,1

Round 46
,G,1,1,45
,C,5,0,0
,P,43,4,1

Round 47
,G,0,0,49
,C,2,0,0
,P,48,0,1

Round 48
,G,0,0,49
,C,2,0,0
,P,47,2,0

Round 49
,G,1,0,47
,C,4,0,0
,P,45,0,3

Round 50
,G,0,1,47
,C,3,0,0
,P,46,2,1

Round 51
,G,1,1,47
,C,1,0,1
,P,47,0,2

Round 52
,G,0,0,49
,C,2,0,0
,P,47,1,1

Round 53
,G,2,0,46
,C,3,0,0
,P,45,0,4

Round 54
,G,1,0,47
,C,4,0,0
,P,44,1,3

Round 55
,G,0,1,48
,C,2,0,1
,P,47,0,1

Round 56
,G,2,0,45
,C,4,0,1
,P,43,0,5

Round 57
,G,2,1,45
,C,5,0,1
,P,42,0,4

Round 58
,G,1,0,47
,C,3,0,0
,P,46,1,2

Round 59
,G,15,1,33
,C,1,0,1
,P,33,0,16

Round 60
,G,21,3,26
,C,0,0,0
,P,28,0,22

Round 61
,G,32,0,18
,C,1,0,0
,P,17,0,32

Round 62
,G,33,2,15
,C,0,0,0
,P,17,0,33

Round 63
,G,43,0,7
,C,1,0,0
,P,6,0,43

Round 64
,G,21,0,29
,C,0,0,0
,P,29,1,20

Round 65
,G,12,0,38
,C,4,0,0
,P,34,0,12

Round 66
,G,19,0,31
,C,0,0,0
,P,31,1,18

Round 67
