Round,a\b,G,C,P
Round 1
,G,3,69,0
,C,0,0,0
,P,21,7,0

Round 2
,G,0,47,1
,C,0,2,50
,P,0,0,0

Round 3
,G,0,9,1
,C,0,1,31
,P,17,17,24

Round 4
,G,2,16,10
,C,8,21,17
,P,7,15,4

Round 5
,G,9,21,3
,C,20,3,19
,P,4,20,1

Round 6
,G,5,23,6
,C,11,7,10
,P,16,20,2

Round 7
,G,6,21,5
,C,5,7,13
,P,21,12,10

Round 8
,G,2,13,7
,C,7,14,14
,P,15,22,6

Round 9
,G,4,19,8
,C,3,11,12
,P,11,27,5

Round 10
,G,2,19,11
,C,3,14,21
,P,4,21,5

Round 11
,G,6,12,24
,C,6,10,10
,P,5,24,3

Round 12
,G,5,12,16
,C,4,9,13
,P,1,32,8

Round 13
,G,6,19,12
,C,2,7,20
,P,3,24,7

Round 14
,G,3,28,19
,C,0,6,18
,P,7,15,4

Round 15
,G,1,20,32
,C,7,10,11
,P,2,14,3

Round 16
,G,3,19,20
,C,3,8,14
,P,5,24,4

Round 17
,G,3,13,28
,C,12,6,15
,P,3,14,6

Round 18
,G,5,25,31
,C,4,9,11
,P,5,4,6

Round 19
,G,0,6,42
,C,15,3,21
,P,0,12,1

Round 20
,G,0,8,35
,C,3,4,28
,P,5,11,6

Round 21
,G,1,39,11
,C,1,0,44
,P,0,2,2

Round 22
,G,2,3,44
,C,1,0,47
,P,0,2,1

Round 23
,G,1,8,23
,C,6,2,41
,P,2,7,10

Round 24
,G,0,2,4
,C,1,0,64
,P,1,0,28

Round 25
,G,1,2,29
,C,2,6,56
,P,2,0,2

Round 26
,G,0,1,5
,C,1,2,88
,P,1,0,2

Round 27
,G,0,0,6
,C,0,2,91
,P,0,0,1

Round 28
,G,0,2,6
,C,0,2,85
,P,2,0,3

Round 29
,G,1,3,28
,C,3,3,58
,P,2,1,1

Round 30
,G,1,3,14
,C,2,10,65
,P,2,0,3

Round 31
,G,2,3,5
,C,13,5,61
,P,5,2,4

Round 32
,G,0,7,9
,C,6,22,47
,P,0,7,2

Round 33
,G,0,17,11
,C,8,3,57
,P,0,1,3

Round 34
,G,2,16,5
,C,0,36,37
,P,0,3,1

Round 35
,G,3,17,8
,C,4,16,45
,P,2,1,4

Round 36
,G,0,10,20
,C,0,30,38
,P,0,1,1

Round 37
,G,0,27,10
,C,8,7,45
,P,0,1,2

Round 38
,G,1,11,18
,C,1,32,35
,P,0,2,0

Round 39
,G,0,5,22
,C,3,34,33
,P,0,1,2

Round 40
,G,0,18,10
,C,1,22,45
,P,0,1,3

Round 41
,G,0,16,15
,C,3,14,47
,P,0,2,3

Round 42
,G,0,3,2
,C,2,0,91
