Round,a\b,G,C,P
Round 1
,G,0,0,0
,C,2,3,0
,P,1,93,1

Round 2
,G,0,0,98
,C,0,0,0
,P,1,0,1

Round 3
,G,33,1,2
,C,49,1,12
,P,2,0,0

Round 4
,G,4,15,6
,C,23,5,4
,P,23,15,5

Round 5
,G,4,14,9
,C,19,5,16
,P,6,24,3

Round 6
,G,1,18,5
,C,19,3,16
,P,17,20,1

Round 7
,G,2,5,21
,C,22,2,6
,P,17,18,7

Round 8
,G,0,24,0
,C,23,1,24
,P,3,24,1

Round 9
,G,0,21,7
,C,7,7,23
,P,21,14,0

Round 10
,G,0,18,2
,C,20,1,19
,P,1,39,0

Round 11
,G,1,1,24
,C,17,0,14
,P,9,26,8

Round 12
,G,1,0,31
,C,32,1,1
,P,1,31,2

Round 13
,G,1,1,30
,C,32,0,2
,P,1,32,1

Round 14
,G,0,1,27
,C,4,2,7
,P,27,30,2

Round 15
,G,0,12,11
,C,8,1,22
,P,17,27,2

Round 16
,G,0,8,16
,C,11,0,18
,P,14,32,1

Round 17
,G,0,10,17
,C,12,1,15
,P,16,29,0

Round 18
,G,0,7,24
,C,16,1,11
,P,12,26,3

Round 19
,G,0,0,24
,C,2,5,22
,P,24,22,1

Round 20
,G,0,6,21
,C,13,4,11
,P,21,20,4

Round 21
,G,2,4,18
,C,8,1,22
,P,21,20,4

Round 22
,G,1,0,13
,C,12,4,10
,P,13,25,22

Round 23
,G,0,0,4
,C,5,3,19
,P,21,19,29

Round 24
,G,2,2,10
,C,13,5,15
,P,16,19,18

Round 25
,G,4,7,8
,C,11,6,15
,P,18,19,12

Round 26
,G,3,12,3
,C,13,6,14
,P,17,16,16

Round 27
,G,0,10,12
,C,11,7,17
,P,22,16,5

Round 28
,G,8,7,8
,C,13,11,15
,P,21,9,8

Round 29
,G,0,9,13
,C,9,9,18
,P,22,12,8

Round 30
,G,1,5,14
,C,8,11,21
,P,23,15,2

Round 31
,G,1,6,2
,C,6,17,17
,P,11,23,17

Round 32
,G,5,15,12
,C,1,2,0
,P,26,33,6

Round 33
,G,1,12,12
,C,2,1,4
,P,25,41,2

Round 34
,G,0,15,6
,C,0,1,1
,P,11,63,3

Round 35
,G,2,26,3
,C,0,1,1
,P,5,57,5

Round 36
,G,2,27,2
,C,1,0,2
,P,8,57,1

Round 37
,G,3,27,4
,C,0,1,2
,P,6,52,5

Round 38
,G,4,31,4
,C,1,3,4
,P,8,39,6

Round 39
,G,1,43,2
,C,2,0,0
,P,2,48,2

Round 40
,G,1,38,3
,C,1,0,1
,P,2,50,4

Round 41
,G,0,47,0
,C,0,0,0
,P,0,51,2

Round 42
,G,9,37,7
,C,0,24,7
,P,2,12,2

Round 43
,G,1,41,12
,C,0,21,8
,P,0,13,4

Round 44
,G,1,36,19
,C,2,18,7
,P,3,13,1

Round 45
,G,4,40,15
,C,1,16,7
,P,0,13,4

Round 46
,G,2,35,22
,C,3,19,9
,P,0,9,1

Round 47
,G,1,39,24
,C,2,24,5
,P,1,4,0

Round 48
,G,4,36,25
,C,0,26,2
,P,1,4,2

Round 49
,G,0,38,27
,C,0,16,8
,P,0,9,2

Round 50
,G,5,38,22
,C,0,26,6
,P,0,3,0

Round 51
,G,4,24,30
,C,3,18,12
,P,2,6,1

Round 52
,G,2,3,5
,C,7,37,33
,P,3,7,3

Round 53
,G,7,19,9
,C,4,17,22
,P,7,12,3

Round 54
,G,18,16,3
,C,3,19,25
,P,2,10,4

Round 55
,G,4,19,14
,C,11,14,21
,P,3,13,1

Round 56
,G,6,23,6
,C,10,13,23
,P,3,11,5

Round 57
,G,8,22,7
,C,6,14,23
,P,6,10,4

Round 58
,G,4,15,13
,C,10,19,19
,P,7,12,1

Round 59
,G,13,14,5
,C,6,20,22
,P,0,9,11

Round 60
,G,1,22,10
,C,11,24,25
,P,4,0,3

Round 61
,G,7,20,6
,C,0,15,31
,P,9,9,3

Round 62
,G,1,10,11
,C,2,1,11
,P,11,32,21

Round 63
,G,4,5,12
,C,8,15,14
,P,8,21,13

Round 64
,G,2,7,23
,C,0,2,1
,P,1,40,24

Round 65
,G,7,11,8
,C,0,2,21
,P,14,29,8

Round 66
,G,0,18,6
,C,0,12,15
,P,7,24,18

Round 67
