Round,a\b,G,C,P
Round 1
,G,0,0,0
,C,0,0,0
,P,3,96,1

Round 2
,G,0,0,0
,C,98,0,2
,P,0,0,0

Round 3
,G,4,1,95
,C,0,0,0
,P,0,0,0

Round 4
,G,0,0,0
,C,0,0,0
,P,0,99,1

Round 5
,G,0,0,0
,C,93,3,4
,P,0,0,0

Round 6
,G,1,11,19
,C,10,9,13
,P,4,29,4

Round 7
,G,0,11,7
,C,16,11,17
,P,13,20,5

Round 8
,G,0,6,16
,C,18,9,12
,P,4,23,12

Round 9
,G,0,18,4
,C,5,13,17
,P,10,27,6

Round 10
,G,4,11,14
,C,15,8,10
,P,14,19,5

Round 11
,G,7,11,14
,C,20,5,11
,P,13,14,5

Round 12
,G,1,3,15
,C,4,9,31
,P,13,24,0

Round 13
,G,0,4,2
,C,4,3,41
,P,3,41,2

Round 14
,G,1,8,4
,C,7,5,38
,P,0,35,2

Round 15
,G,1,2,0
,C,44,2,3
,P,1,46,1

Round 16
,G,1,13,21
,C,25,7,5
,P,11,11,6

Round 17
,G,2,26,11
,C,17,0,15
,P,21,6,2

Round 18
,G,1,2,21
,C,19,1,19
,P,1,36,0

Round 19
,G,1,13,11
,C,11,13,12
,P,24,12,3

Round 20
,G,0,5,29
,C,15,8,15
,P,10,15,3

Round 21
,G,0,5,17
,C,7,8,18
,P,25,18,2

Round 22
,G,0,1,19
,C,10,5,7
,P,30,18,10

Round 23
,G,0,1,33
,C,14,1,17
,P,20,13,1

Round 24
,G,2,15,13
,C,0,1,20
,P,33,13,3

Round 25
,G,2,0,33
,C,28,1,3
,P,0,33,0

Round 26
,G,7,8,9
,C,6,6,18
,P,28,12,6

Round 27
,G,16,1,33
,C,17,1,0
,P,1,31,0

Round 28
,G,1,2,19
,C,9,2,20
,P,35,10,2

Round 29
,G,0,8,38
,C,2,1,8
,P,20,22,1

Round 30
,G,0,1,27
,C,5,1,28
,P,32,2,4

Round 31
,G,1,6,36
,C,7,1,1
,P,25,18,5

Round 32
,G,1,0,29
,C,7,1,24
,P,31,5,2

Round 33
,G,3,6,29
,C,0,1,9
,P,19,24,9

Round 34
,G,0,1,22
,C,8,3,21
,P,33,10,2

Round 35
,G,2,7,31
,C,0,1,15
,P,19,23,2

Round 36
,G,2,1,21
,C,3,1,22
,P,34,14,2

Round 37
,G,1,4,33
,C,0,2,11
,P,23,23,3

Round 38
,G,0,0,24
,C,2,0,23
,P,36,13,2

Round 39
,G,1,3,33
,C,0,1,14
,P,21,14,13

Round 40
,G,0,0,24
,C,22,1,2
,P,28,21,2

Round 41
,G,1,16,28
,C,2,0,18
,P,22,3,10

Round 42
,G,3,3,19
,C,7,4,12
,P,19,28,5

Round 43
,G,1,12,20
,C,3,2,27
,P,21,14,0

Round 44
,G,0,2,23
,C,9,2,13
,P,14,31,6

Round 45
,G,2,12,10
,C,3,2,33
,P,15,21,2

Round 46
,G,0,1,17
,C,17,0,16
,P,8,41,0

Round 47
,G,1,18,7
,C,6,1,37
,P,13,17,0

Round 48
,G,0,9,14
,C,22,1,13
,P,4,36,1

Round 49
,G,1,19,19
,C,1,2,38
,P,2,18,0

Round 50
,G,1,3,2
,C,19,0,17
,P,17,39,2

Round 51
,G,1,18,20
,C,17,0,22
,P,3,19,0

Round 52
,G,2,17,4
,C,16,3,15
,P,16,25,2

Round 53
,G,6,8,17
,C,24,10,22
,P,4,7,2

Round 54
,G,5,15,7
,C,10,9,7
,P,19,28,0

Round 55
,G,0,11,25
,C,13,9,23
,P,8,10,1

Round 56
,G,0,10,12
,C,11,8,9
,P,23,24,3

Round 57
,G,2,10,27
,C,5,8,30
,P,14,4,0

Round 58
,G,0,2,13
,C,9,8,9
,P,26,31,2

Round 59
,G,0,2,31
,C,14,16,21
,P,14,1,1

Round 60
,G,0,8,10
,C,8,9,6
,P,29,29,1

Round 61
,G,0,8,30
,C,8,12,24
,P,3,14,1

Round 62
,G,0,0,11
,C,0,4,18
,P,8,48,11

Round 63
,G,1,1,9
,C,0,12,37
,P,19,11,10

Round 64
,G,0,0,19
,C,0,10,10
,P,9,38,14

Round 65
,G,0,0,9
,C,5,8,40
,P,16,11,11

Round 66
,G,0,9,10
,C,1,8,21
,P,13,33,5

Round 67
