Round,a\b,G,C,P
Round 1
,G,0,0,0
,C,96,2,2
,P,0,0,0

Round 2
,G,0,1,99
,C,0,0,0
,P,0,0,0

Round 3
,G,0,0,0
,C,0,0,0
,P,3,96,1

Round 4
,G,0,0,0
,C,92,5,3
,P,0,0,0

Round 5
,G,0,1,49
,C,0,0,0
,P,0,46,4

Round 6
,G,0,0,0
,C,47,0,3
,P,2,47,1

Round 7
,G,1,12,15
,C,21,4,16
,P,5,24,2

Round 8
,G,5,16,15
,C,22,6,5
,P,4,27,0

Round 9
,G,5,13,12
,C,20,13,15
,P,7,10,5

Round 10
,G,0,12,19
,C,22,9,6
,P,6,20,6

Round 11
,G,1,8,6
,C,25,14,10
,P,9,25,2

Round 12
,G,2,6,16
,C,17,5,21
,P,7,22,4

Round 13
,G,8,8,6
,C,6,16,14
,P,4,30,8

Round 14
,G,5,7,10
,C,19,15,13
,P,4,21,6

Round 15
,G,12,16,5
,C,13,11,11
,P,10,19,3

Round 16
,G,17,20,19
,C,37,2,2
,P,1,2,0

Round 17
,G,4,6,26
,C,17,1,16
,P,1,29,0

Round 18
,G,6,11,4
,C,21,10,17
,P,10,21,0

Round 19
,G,2,9,24
,C,8,11,22
,P,0,17,7

Round 20
,G,1,5,1
,C,25,11,20
,P,9,23,5

Round 21
,G,5,4,34
,C,9,16,12
,P,4,8,8

Round 22
,G,0,9,0
,C,33,8,12
,P,8,29,1

Round 23
,G,0,2,24
,C,2,10,27
,P,7,7,21

Round 24
,G,2,12,2
,C,28,11,1
,P,7,33,4

Round 25
,G,0,15,9
,C,22,8,35
,P,6,5,0

Round 26
,G,1,21,7
,C,16,11,1
,P,4,34,5

Round 27
,G,0,0,10
,C,13,14,55
,P,2,0,6

Round 28
,G,1,15,8
,C,0,6,2
,P,7,55,6

Round 29
,G,1,1,22
,C,9,24,32
,P,5,4,2

Round 30
,G,2,16,8
,C,1,16,3
,P,7,40,7

Round 31
,G,0,1,9
,C,9,21,37
,P,2,9,12

Round 32
,G,0,8,0
,C,8,15,2
,P,3,60,4

Round 33
,G,2,4,4
,C,19,33,29
,P,2,3,4

Round 34
,G,4,18,8
,C,8,23,6
,P,10,17,6

Round 35
,G,0,7,6
,C,26,16,19
,P,12,6,8

Round 36
,G,6,20,9
,C,7,19,6
,P,8,23,2

Round 37
,G,5,9,5
,C,17,23,30
,P,3,4,4

Round 38
,G,6,22,5
,C,11,20,3
,P,4,24,5

Round 39
,G,4,5,5
,C,18,15,32
,P,12,4,5

Round 40
,G,4,13,6
,C,10,20,3
,P,8,31,5

Round 41
,G,10,10,5
,C,33,16,16
,P,5,5,0

Round 42
,G,1,9,72
,C,0,1,14
,P,0,1,2

Round 43
,G,2,4,6
,C,31,7,9
,P,28,13,0

Round 44
,G,2,26,26
,C,7,11,10
,P,6,9,3

Round 45
,G,2,0,3
,C,38,4,26
,P,20,3,4

Round 46
,G,1,33,30
,C,2,2,3
,P,1,27,1

Round 47
,G,5,2,3
,C,36,5,14
,P,20,11,4

Round 48
,G,2,36,23
,C,4,8,9
,P,3,12,3

Round 49
,G,9,4,10
,C,24,14,10
,P,16,13,0

Round 50
,G,5,21,19
,C,8,6,15
,P,6,13,7

Round 51
,G,5,3,7
,C,28,6,12
,P,21,11,7

Round 52
,G,3,31,31
,C,0,2,15
,P,1,16,1

Round 53
,G,2,2,8
,C,37,3,12
,P,18,12,6

Round 54
,G,1,40,31
,C,1,14,3
,P,1,7,2

Round 55
,G,2,1,3
,C,31,7,11
,P,21,14,10

Round 56
,G,0,33,23
,C,0,3,13
,P,4,10,14

Round 57
,G,0,0,3
,C,35,17,8
,P,27,5,5

Round 58
,G,4,34,17
,C,4,10,10
,P,7,11,3

Round 59
,G,2,0,2
,C,36,8,7
,P,28,9,8

Round 60
,G,3,22,33
,C,2,4,14
,P,4,10,8

Round 61
,G,4,1,6
,C,25,8,16
,P,20,14,6

Round 62
,G,5,18,19
,C,3,10,15
,P,6,18,6

Round 63
,G,0,49,5
,C,8,11,4
,P,11,7,5

Round 64
,G,1,16,9
,C,18,16,16
,P,7,10,7

Round 65
,G,3,15,8
,C,18,17,7
,P,11,16,5

Round 66
,G,2,10,9
,C,51,7,10
,P,4,3,4

Round 67
