Round,a\b,G,C,P
Round 1
,G,7,19,8
,C,7,14,5
,P,6,29,5

Round 2
,G,2,8,4
,C,6,22,9
,P,6,28,15

Round 3
,G,4,8,5
,C,6,22,8
,P,7,28,12

Round 4
,G,4,6,6
,C,6,21,7
,P,7,31,12

Round 5
,G,5,9,5
,C,3,13,8
,P,6,32,19

Round 6
,G,2,8,5
,C,5,21,9
,P,9,28,13

Round 7
,G,6,3,6
,C,0,17,7
,P,4,33,24

Round 8
,G,2,9,3
,C,9,18,9
,P,6,31,13

Round 9
,G,2,9,4
,C,8,14,4
,P,7,32,20

Round 10
,G,2,8,3
,C,6,17,7
,P,7,30,20

Round 11
,G,7,19,8
,C,7,14,5
,P,6,29,5

Round 12
,G,2,8,4
,C,6,22,9
,P,6,28,15

Round 13
,G,4,8,5
,C,6,22,8
,P,7,28,12

Round 14
,G,4,6,6
,C,6,21,7
,P,7,31,12

Round 15
,G,5,9,5
,C,3,13,8
,P,6,32,19

Round 16
,G,2,8,5
,C,5,21,9
,P,9,28,13

Round 17
,G,6,3,6
,C,0,17,7
,P,4,33,24

Round 18
,G,2,9,3
,C,9,18,9
,P,6,31,13

Round 19
,G,2,9,4
,C,8,14,4
,P,7,32,20

Round 20
,G,2,8,3
,C,6,17,7
,P,7,30,20

Round 21
,G,7,19,8
,C,7,14,5
,P,6,29,5

Round 22
,G,2,8,4
,C,6,22,9
,P,6,28,15

Round 23
,G,4,8,5
,C,6,22,8
,P,7,28,12

Round 24
,G,4,6,6
,C,6,21,7
,P,7,31,12

Round 25
,G,5,9,5
,C,3,13,8
,P,6,32,19

Round 26
,G,2,8,5
,C,5,21,9
,P,9,28,13

Round 27
,G,6,3,6
,C,0,17,7
,P,4,33,24

Round 28
,G,2,9,3
,C,9,18,9
,P,6,31,13

Round 29
,G,2,9,4
,C,8,14,4
,P,7,32,20

Round 30
,G,2,8,3
,C,6,17,7
,P,7,30,20

Round 31
,G,7,19,8
,C,7,14,5
,P,6,29,5

Round 32
,G,2,8,4
,C,6,22,9
,P,6,28,15

Round 33
,G,4,8,5
,C,6,22,8
,P,7,28,12

Round 34
,G,4,6,6
,C,6,21,7
,P,7,31,12

Round 35
,G,5,9,5
,C,3,13,8
,P,6,32,19

Round 36
,G,2,8,5
,C,5,21,9
,P,9,28,13

Round 37
,G,6,3,6
,C,0,17,7
,P,4,33,24

Round 38
,G,2,9,3
,C,9,18,9
,P,6,31,13

Round 39
,G,2,9,4
,C,8,14,4
,P,7,32,20

Round 40
,G,2,8,3
,C,6,17,7
,P,7,30,20

Round 41
,G,7,19,8
,C,7,14,5
,P,6,29,5

Round 42
,G,2,8,4
,C,6,22,9
,P,6,28,15

Round 43
,G,4,8,5
,C,6,22,8
,P,7,28,12

Round 44
,G,4,6,6
,C,6,21,7
,P,7,31,12

Round 45
,G,5,9,5
,C,3,13,8
,P,6,32,19

Round 46
,G,2,8,5
,C,5,21,9
,P,9,28,13

Round 47
,G,6,3,6
,C,0,17,7
,P,4,33,24

Round 48
,G,2,9,3
,C,9,18,9
,P,6,31,13

Round 49
,G,2,9,4
,C,8,14,4
,P,7,32,20

Round 50
,G,2,8,3
,C,6,17,7
,P,7,30,20

Round 51
