Round,a\b,G,C,P
Round 1
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 2
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 3
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 4
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 5
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 6
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 7
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 8
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 9
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 10
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 11
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 12
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 13
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 14
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 15
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 16
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 17
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 18
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 19
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 20
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 21
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 22
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 23
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 24
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 25
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 26
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 27
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 28
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 29
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 30
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 31
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 32
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 33
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 34
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 35
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 36
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 37
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 38
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 39
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 40
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 41
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 42
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 43
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 44
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 45
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 46
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 47
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 48
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 49
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 50
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 51
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 52
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 53
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 54
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 55
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 56
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 57
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 58
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 59
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 60
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 61
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 62
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 63
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 64
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 65
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 66
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 67
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 68
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 69
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 70
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 71
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 72
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 73
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 74
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 75
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 76
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 77
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 78
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 79
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 80
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 81
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 82
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 83
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 84
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 85
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 86
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 87
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 88
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 89
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 90
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 91
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 92
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 93
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 94
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 95
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 96
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 97
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 98
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 99
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 100
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 101
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 102
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 103
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 104
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 105
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 106
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 107
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 108
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 109
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 110
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 111
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 112
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 113
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 114
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 115
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 116
,G,23,38,0
,C,0,36,0
,P,0,3,0

Round 117
,G,26,38,0
,C,0,33,0
,P,0,3,0

Round 118
,G,24,38,0
,C,1,32,0
,P,0,5,0

Round 119
,G,14,52,0
,C,2,27,0
,P,1,4,0

Round 120
,G,25,39,0
,C,0,35,0
,P,0,1,0

Round 121
,G,9,44,0
,C,1,29,0
,P,1,16,0

Round 122
,G,24,43,0
,C,0,28,0
,P,0,5,0

Round 123
,G,24,40,0
,C,0,30,0
,P,0,6,0

Round 124
,G,24,36,0
,C,0,37,0
,P,0,3,0

Round 125
,G,23,37,0
,C,1,36,0
,P,0,3,0

Round 126
,G,23,38,0
,C,0,36,0
