Round,a\b,G,C,P
Round 1
,G,0,0,39
,C,1,1,18
,P,0,0,41

Round 2
,G,1,0,50
,C,0,0,0
,P,0,1,48

Round 3
,G,1,0,48
,C,0,0,4
,P,0,1,46

Round 4
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 5
,G,1,0,48
,C,0,0,2
,P,0,1,48

Round 6
,G,1,0,48
,C,0,0,2
,P,0,1,48

Round 7
,G,1,0,49
,C,0,0,2
,P,0,1,47

Round 8
,G,1,0,48
,C,0,0,1
,P,0,1,49

Round 9
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 10
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 11
,G,0,0,39
,C,1,1,18
,P,0,0,41

Round 12
,G,1,0,50
,C,0,0,0
,P,0,1,48

Round 13
,G,1,0,48
,C,0,0,4
,P,0,1,46

Round 14
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 15
,G,1,0,48
,C,0,0,2
,P,0,1,48

Round 16
,G,1,0,48
,C,0,0,2
,P,0,1,48

Round 17
,G,1,0,49
,C,0,0,2
,P,0,1,47

Round 18
,G,1,0,48
,C,0,0,1
,P,0,1,49

Round 19
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 20
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 21
,G,0,0,39
,C,1,1,18
,P,0,0,41

Round 22
,G,1,0,50
,C,0,0,0
,P,0,1,48

Round 23
,G,1,0,48
,C,0,0,4
,P,0,1,46

Round 24
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 25
,G,1,0,48
,C,0,0,2
,P,0,1,48

Round 26
,G,1,0,48
,C,0,0,2
,P,0,1,48

Round 27
,G,1,0,49
,C,0,0,2
,P,0,1,47

Round 28
,G,1,0,48
,C,0,0,1
,P,0,1,49

Round 29
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 30
,G,1,0,50
,C,0,0,2
,P,0,1,46

Round 31
,G,0,0,39
,C,1,1,18
,P,0,0,41

Round 32
,G,1,0,50
,C,0,0,0
,P,0,1,48

Round 33
,G,1,0,48
