Round,a\b,G,C,P
Round 1
,G,0,0,0
,C,98,2,0
,P,0,0,0

Round 2
,G,0,0,0
,C,0,0,0
,P,1,99,0

Round 3
,G,0,0,65
,C,0,0,0
,P,0,32,3

Round 4
,G,0,0,0
,C,49,3,2
,P,0,46,0

Round 5
,G,4,10,10
,C,34,6,11
,P,5,15,5

Round 6
,G,1,12,23
,C,20,3,13
,P,13,11,4

Round 7
,G,3,11,15
,C,14,8,14
,P,13,11,11

Round 8
,G,0,0,0
,C,19,28,13
,P,0,39,1

Round 9
,G,6,12,6
,C,11,7,18
,P,10,26,4

Round 10
,G,2,11,11
,C,10,9,18
,P,9,23,7

Round 11
,G,10,8,10
,C,4,8,14
,P,13,20,13

Round 12
,G,2,9,11
,C,9,9,19
,P,19,18,4

Round 13
,G,3,2,14
,C,17,2,21
,P,18,20,3

Round 14
,G,4,16,10
,C,11,19,5
,P,9,20,6

Round 15
,G,3,2,3
,C,5,55,4
,P,7,16,5

Round 16
,G,6,6,7
,C,10,21,6
,P,18,25,1

Round 17
,G,3,14,6
,C,11,13,12
,P,15,22,4

Round 18
,G,2,0,3
,C,11,16,27
,P,14,14,13

Round 19
,G,2,7,5
,C,10,6,13
,P,21,27,9

Round 20
,G,1,4,2
,C,19,14,15
,P,29,7,9

Round 21
,G,3,4,6
,C,13,11,16
,P,19,20,8

Round 22
,G,1,9,5
,C,9,15,16
,P,13,27,5

Round 23
,G,3,10,6
,C,17,15,15
,P,9,24,1

Round 24
,G,0,12,7
,C,8,20,12
,P,15,26,0

Round 25
,G,0,16,7
,C,3,16,12
,P,10,28,8

Round 26
,G,3,8,6
,C,17,21,11
,P,13,18,3

Round 27
,G,4,12,7
,C,11,16,14
,P,11,20,5

Round 28
,G,1,11,4
,C,11,20,13
,P,12,22,6

Round 29
,G,4,9,7
,C,10,16,14
,P,15,24,1

Round 30
,G,6,12,3
,C,19,19,12
,P,11,15,3

Round 31
,G,6,4,6
,C,16,14,14
,P,12,23,5

Round 32
,G,1,10,7
,C,16,14,5
,P,11,22,14

Round 33
,G,5,9,8
,C,25,8,13
,P,11,18,3

Round 34
,G,1,2,14
,C,12,26,33
,P,1,8,3

Round 35
,G,7,11,5
,C,21,13,9
,P,8,20,6

Round 36
,G,4,5,9
,C,15,21,13
,P,14,14,5

Round 37
,G,3,2,12
,C,22,19,18
,P,6,13,5

Round 38
,G,2,4,20
,C,27,3,10
,P,7,23,4

Round 39
,G,2,2,8
,C,24,18,15
,P,8,17,6

Round 40
,G,2,6,11
,C,19,18,5
,P,12,21,6

Round 41
,G,5,10,14
,C,28,4,5
,P,10,23,1

Round 42
,G,3,14,1
,C,14,20,9
,P,16,20,3

Round 43
,G,1,10,8
,C,11,10,2
,P,38,20,0

Round 44
,G,2,10,2
,C,20,14,10
,P,19,22,1

Round 45
,G,5,12,8
,C,14,23,9
,P,16,12,1

Round 46
,G,3,16,4
,C,16,19,12
,P,12,16,2

Round 47
,G,2,10,0
,C,6,12,13
,P,40,16,1

Round 48
,G,2,8,4
,C,19,20,12
,P,18,13,4

Round 49
,G,4,6,2
,C,14,14,5
,P,23,25,7

Round 50
,G,2,13,4
,C,17,11,9
,P,25,16,3

Round 51
,G,4,8,4
,C,12,15,8
,P,18,28,3

Round 52
,G,11,11,14
,C,6,12,4
,P,13,24,5

Round 53
,G,3,17,12
,C,8,16,5
,P,15,23,1

Round 54
,G,4,23,11
,C,4,13,13
,P,12,15,5

Round 55
,G,4,15,14
,C,8,18,6
,P,10,19,6

Round 56
,G,9,12,14
,C,6,8,7
,P,20,19,5

Round 57
,G,2,12,16
,C,13,9,4
,P,12,24,8

Round 58
,G,3,13,12
,C,16,9,3
,P,12,26,6

Round 59
,G,3,13,6
,C,13,15,11
,P,13,17,9

Round 60
,G,2,13,13
,C,6,12,15
,P,12,25,2

Round 61
,G,8,5,11
,C,4,12,21
,P,11,15,13

Round 62
,G,20,11,6
,C,8,3,3
,P,25,20,4

Round 63
,G,7,6,17
,C,7,5,4
,P,14,23,17

Round 64
,G,8,9,19
,C,4,9,8
,P,13,14,16

Round 65
,G,6,7,23
,C,6,2,11
,P,16,18,11

Round 66
,G,19,10,7
,C,9,6,2
,P,23,14,10

Round 67
