reward/player_1,rollout/exploration_rate,time/step,reward/player_0,train/n_updates,train/learning_rate,train/loss
1328.0,0.05,0,113.0,,,
106.0,0.05,1,916.0,1000,2e-05,0.0839665730214765
56.0,0.05,2,941.0,2000,2e-05,0.014760782477747853
75.0,0.05,3,937.0,3000,2e-05,0.0002605055382646242
54.0,0.05,4,855.0,4000,2e-05,8.701767081333855e-05
245.0,0.05,5,1089.0,5000,2e-05,0.03931948967408971
129.0,0.05,6,88.0,6000,2e-05,0.1633876276925439
60.0,0.05,7,36.0,7000,2e-05,0.1206454114005901
1282.0,0.05,8,300.0,8000,2e-05,0.023194472571020013
1320.0,0.05,9,235.0,9000,2e-05,0.03398834466945846
1244.0,0.05,10,338.0,10000,2e-05,0.00862897825287655
1272.0,0.05,11,271.0,11000,2e-05,0.0028859468112932517
1206.0,0.05,12,386.0,12000,2e-05,0.013983605407294817
532.0,0.05,13,1074.0,13000,2e-05,0.02863618449770729
1350.0,0.05,14,764.0,14000,2e-05,0.05388564499840141
2269.0,0.05,15,983.0,15000,2e-05,0.008055354107986204
1574.0,0.05,16,1094.0,16000,2e-05,0.004062678482834599
2226.0,0.05,17,936.0,17000,2e-05,0.013088043628944434
2162.0,0.05,18,952.0,18000,2e-05,0.01190141853466048
1555.0,0.05,19,626.0,19000,2e-05,0.029973959161128733
587.0,0.05,20,1170.0,20000,2e-05,0.06518726773490198
847.0,0.05,21,901.0,21000,2e-05,0.0687143497520592
1120.0,0.05,22,601.0,22000,2e-05,0.0529547008528607
1136.0,0.05,23,615.0,23000,2e-05,0.007667637640508474
1121.0,0.05,24,700.0,24000,2e-05,0.0053191420698422
1121.0,0.05,25,655.0,25000,2e-05,0.0037832068105926736
1190.0,0.05,26,618.0,26000,2e-05,0.0034722193141569734
1136.0,0.05,27,664.0,27000,2e-05,0.002712195796833839
1187.0,0.05,28,589.0,28000,2e-05,0.0016277561778042582
1536.0,0.05,29,450.0,29000,2e-05,0.002247237272407801
1614.0,0.05,30,669.0,30000,2e-05,0.040553234643302856
1625.0,0.05,31,747.0,31000,2e-05,0.006137552817817777
1102.0,0.05,32,767.0,32000,2e-05,0.056161223727540344
1324.0,0.05,33,703.0,33000,2e-05,0.005059272863480146
1184.0,0.05,34,741.0,34000,2e-05,0.04322258656192571
761.0,0.05,35,720.0,35000,2e-05,0.007616229417617432
887.0,0.05,36,830.0,36000,2e-05,0.001906885633507045
726.0,0.05,37,729.0,37000,2e-05,0.0013604707951744785
739.0,0.05,38,747.0,38000,2e-05,0.0009152258882404566
749.0,0.05,39,764.0,39000,2e-05,0.0002793594555132586
1113.0,0.05,40,956.0,40000,2e-05,0.06827356119648903
2386.0,0.05,41,85.0,41000,2e-05,0.005639461886225035
2445.0,0.05,42,72.0,42000,2e-05,0.0039049956903909333
2438.0,0.05,43,90.0,43000,2e-05,0.0037765073965565533
2408.0,0.05,44,88.0,44000,2e-05,0.0009483999228850734
2463.0,0.05,45,85.0,45000,2e-05,0.0006101781397646846
2465.0,0.05,46,72.0,46000,2e-05,0.0036151344500867707
2455.0,0.05,47,92.0,47000,2e-05,0.0013752802458820953
2480.0,0.05,48,92.0,48000,2e-05,0.0011113788979391756
2485.0,0.05,49,85.0,49000,2e-05,0.0002593994710186962
1678.0,0.05,50,656.0,50000,2e-05,0.042736369246908
1653.0,0.05,51,658.0,51000,2e-05,0.004359563747930224
1610.0,0.05,52,681.0,52000,2e-05,0.0032285709125571883
1615.0,0.05,53,677.0,53000,2e-05,0.0013962442698903033
1607.0,0.05,54,671.0,54000,2e-05,0.0019477195326930996
1623.0,0.05,55,658.0,55000,2e-05,0.001372948019494288
1472.0,0.05,56,667.0,56000,2e-05,0.002967308695162501
697.0,0.05,57,648.0,57000,2e-05,0.005685038960822567
841.0,0.05,58,831.0,58000,2e-05,0.007134437328233616
1011.0,0.05,59,988.0,59000,2e-05,0.003102187669617706
1121.0,0.05,60,976.0,60000,2e-05,0.06807006638211896
2408.0,0.05,61,94.0,61000,2e-05,0.006035994814330479
2399.0,0.05,62,74.0,62000,2e-05,0.005003958040877478
2391.0,0.05,63,79.0,63000,2e-05,0.0014581251346389764
2458.0,0.05,64,80.0,64000,2e-05,0.004161534665183353
2455.0,0.05,65,72.0,65000,2e-05,0.0004103340371475497
2449.0,0.05,66,75.0,66000,2e-05,0.00021381525097967824
2460.0,0.05,67,58.0,67000,2e-05,0.0025376963111611987
2400.0,0.05,68,78.0,68000,2e-05,0.00010736121067532167
2415.0,0.05,69,90.0,69000,2e-05,0.00016683871739178358
1713.0,0.05,70,630.0,70000,2e-05,0.029466850823548156
1720.0,0.05,71,609.0,71000,2e-05,0.004650657846708782
1720.0,0.05,72,640.0,72000,2e-05,0.0022456410775048424
1650.0,0.05,73,660.0,73000,2e-05,0.0007957192443827808
1646.0,0.05,74,646.0,74000,2e-05,0.000227241559070535
1720.0,0.05,75,653.0,75000,2e-05,0.0003350858036492355
1649.0,0.05,76,670.0,76000,2e-05,0.00035769851079294314
1642.0,0.05,77,642.0,77000,2e-05,0.00011581936345692157
1635.0,0.05,78,647.0,78000,2e-05,0.0003419980105873037
