Round,a\b,G,C,P
Round 1
,G,0,1,99
,C,0,0,0
,P,0,0,0

Round 2
,G,0,0,0
,C,97,1,2
,P,0,0,0

Round 3
,G,2,0,14
,C,14,11,14
,P,1,42,2

Round 4
,G,3,11,8
,C,31,4,7
,P,10,20,6

Round 5
,G,0,2,31
,C,32,0,2
,P,1,32,0

Round 6
,G,1,7,13
,C,21,9,16
,P,9,21,3

Round 7
,G,4,12,4
,C,15,7,19
,P,9,23,7

Round 8
,G,2,8,6
,C,15,11,18
,P,14,24,2

Round 9
,G,6,1,9
,C,17,23,23
,P,9,12,0

Round 10
,G,0,0,0
,C,2,2,3
,P,27,50,16

Round 11
,G,0,0,0
,C,0,0,0
,P,2,96,2

Round 12
,G,0,0,1
,C,0,0,0
,P,0,97,2

Round 13
,G,1,10,2
,C,8,9,26
,P,2,36,6

Round 14
,G,2,7,1
,C,8,19,21
,P,0,42,0

Round 15
,G,2,16,4
,C,12,17,23
,P,3,21,2

Round 16
,G,3,20,7
,C,10,12,15
,P,5,27,1

Round 17
,G,5,21,7
,C,10,6,17
,P,4,28,2

Round 18
,G,4,16,8
,C,12,9,21
,P,5,20,5

Round 19
,G,1,7,2
,C,22,18,20
,P,2,22,6

Round 20
,G,0,9,1
,C,17,16,29
,P,13,11,4

Round 21
,G,1,8,3
,C,16,11,20
,P,9,26,6

Round 22
,G,5,10,7
,C,14,16,14
,P,3,26,5

Round 23
,G,6,12,8
,C,15,8,17
,P,5,27,2

Round 24
,G,2,9,8
,C,14,12,10
,P,8,27,10

Round 25
,G,3,3,1
,C,22,39,15
,P,5,8,4

Round 26
,G,5,10,12
,C,16,17,18
,P,1,19,2

Round 27
,G,0,3,3
,C,35,20,16
,P,3,15,5

Round 28
,G,3,11,5
,C,26,14,13
,P,2,21,5

Round 29
,G,6,6,6
,C,25,10,13
,P,4,25,5

Round 30
,G,6,17,9
,C,14,11,8
,P,6,22,7

Round 31
,G,0,7,5
,C,19,30,12
,P,3,22,2

Round 32
,G,0,5,5
,C,30,18,18
,P,0,24,0

Round 33
,G,9,14,6
,C,18,17,10
,P,8,18,0

Round 34
,G,1,3,2
,C,56,18,3
,P,3,14,0

Round 35
,G,0,0,1
,C,64,33,0
,P,1,1,0

Round 36
,G,1,6,3
,C,39,31,6
,P,6,8,0

Round 37
,G,5,17,7
,C,23,17,3
,P,8,17,3

Round 38
,G,5,13,6
,C,32,18,8
,P,6,11,1

Round 39
,G,8,11,1
,C,35,18,8
,P,7,12,0

Round 40
,G,10,13,8
,C,29,14,6
,P,8,11,1

Round 41
,G,2,1,3
,C,65,8,7
,P,10,4,0

Round 42
,G,18,3,3
,C,29,14,11
,P,14,8,0

Round 43
,G,8,14,5
,C,31,7,17
,P,9,8,1

Round 44
,G,2,7,2
,C,65,6,7
,P,9,2,0

Round 45
,G,8,13,0
,C,27,17,14
,P,14,7,0

Round 46
,G,4,15,8
,C,23,10,16
,P,14,10,0

Round 47
,G,1,10,1
,C,40,17,5
,P,11,13,2

Round 48
,G,8,15,5
,C,19,7,12
,P,22,11,1

Round 49
,G,6,9,3
,C,24,15,9
,P,17,13,4

Round 50
,G,15,9,1
,C,31,1,11
,P,16,15,1

Round 51
,G,8,10,1
,C,16,11,15
,P,22,16,1

Round 52
,G,9,5,5
,C,17,13,9
,P,29,10,3

Round 53
,G,23,8,0
,C,7,10,17
,P,31,3,1

Round 54
,G,20,0,6
,C,16,1,0
,P,42,15,0

Round 55
,G,5,4,1
,C,21,1,1
,P,42,23,2

Round 56
,G,1,2,2
,C,18,12,4
,P,38,21,2

Round 57
,G,5,8,0
,C,18,6,3
,P,42,16,2

Round 58
,G,15,6,1
,C,9,4,4
,P,51,8,2

Round 59
,G,10,2,3
,C,13,5,1
,P,54,7,5

Round 60
,G,3,6,2
,C,15,6,3
,P,42,20,3

Round 61
,G,4,12,5
,C,8,10,22
,P,11,21,7

Round 62
,G,3,12,5
,C,13,13,16
,P,14,20,4

Round 63
,G,3,14,4
,C,14,9,17
,P,12,21,6

Round 64
,G,1,7,12
,C,16,13,13
,P,1,35,2

Round 65
,G,1,12,6
,C,12,6,28
,P,5,28,2

Round 66
,G,2,14,16
,C,9,4,21
,P,9,19,6

Round 67
,G,1,12,5
,C,15,3,21
,P,13,29,1

Round 68
,G,3,10,11
,C,13,7,19
,P,14,19,4

Round 69
,G,0,12,7
,C,18,10,14
,P,10,29,0

Round 70
,G,3,4,9
,C,14,8,19
,P,14,21,8

Round 71
,G,0,20,4
,C,6,5,36
,P,1,20,8

Round 72
,G,1,11,12
,C,9,10,27
,P,5,8,17

Round 73
,G,4,11,7
,C,7,14,22
,P,2,17,16

Round 74
,G,2,12,12
,C,15,14,17
,P,5,17,6

Round 75
,G,4,6,13
,C,10,19,23
,P,2,14,9

Round 76
,G,1,14,12
,C,12,8,36
,P,0,11,6

Round 77
,G,0,19,18
,C,13,7,23
,P,0,12,8

Round 78
,G,0,13,1
,C,13,19,21
,P,6,20,7

Round 79
,G,1,15,9
,C,13,12,17
,P,7,16,10

Round 80
,G,0,2,2
,C,2,88,5
,P,0,0,1

Round 81
,G,5,0,4
,C,2,14,28
,P,12,24,11

Round 82
,G,3,3,4
,C,5,12,31
,P,4,25,13

Round 83
,G,3,10,14
,C,8,16,23
,P,5,17,4

Round 84
,G,4,6,6
,C,12,6,30
,P,3,24,9

Round 85
,G,0,3,7
,C,11,15,33
,P,5,25,1

Round 86
,G,1,11,14
,C,15,11,19
,P,5,19,5

Round 87
,G,0,7,4
,C,6,2,40
,P,1,36,4

Round 88
,G,3,6,11
,C,10,14,22
,P,4,16,14

Round 89
,G,1,5,2
,C,15,19,18
,P,7,26,7

Round 90
,G,1,8,13
,C,12,12,26
,P,5,13,10

Round 91
,G,0,12,9
,C,14,13,14
,P,7,20,11

Round 92
,G,1,8,12
,C,13,8,16
,P,8,21,13

Round 93
,G,2,14,13
,C,9,7,19
,P,2,18,16

Round 94
,G,2,5,12
,C,5,4,17
,P,14,12,29

Round 95
,G,1,4,7
,C,15,5,19
,P,6,25,18

Round 96
,G,4,13,14
,C,10,6,25
,P,10,10,8

Round 97
,G,1,10,15
,C,11,14,14
,P,10,15,10

Round 98
,G,1,13,16
,C,3,7,21
,P,9,13,17

Round 99
,G,0,19,10
,C,8,5,22
,P,11,16,9

Round 100
,G,1,16,7
,C,2,8,40
,P,4,19,3

Round 101
,G,2,14,6
,C,12,15,13
,P,12,17,9

Round 102
,G,1,8,7
,C,9,11,23
,P,9,20,12

Round 103
,G,3,13,6
,C,11,10,9
,P,10,30,8

Round 104
,G,1,8,6
,C,9,10,11
,P,10,27,18

Round 105
,G,2,12,7
,C,12,19,15
,P,12,14,7

Round 106
,G,5,8,5
,C,12,21,15
,P,10,15,9

Round 107
,G,3,7,10
,C,10,12,12
,P,12,18,16

Round 108
,G,0,13,1
,C,13,16,15
,P,14,27,1

Round 109
,G,0,13,11
,C,13,15,14
,P,9,22,3

Round 110
,G,6,8,9
,C,13,14,12
,P,12,20,6

Round 111
,G,6,6,3
,C,16,10,17
,P,14,16,12

Round 112
,G,4,12,9
,C,14,12,12
