Round,a\b,G,C,P
Round 1
,G,0,0,0
,C,3,0,0
,P,97,0,0

Round 2
,G,0,0,0
,C,0,0,0
,P,2,97,1

Round 3
,G,0,97,0
,C,0,0,0
,P,0,3,0

Round 4
,G,0,3,96
,C,0,0,0
,P,0,1,0

Round 5
,G,0,0,0
,C,0,5,91
,P,0,0,4

Round 6
,G,0,0,31
,C,33,17,2
,P,0,16,1

Round 7
,G,0,30,1
,C,2,1,31
,P,30,2,3

Round 8
,G,1,0,11
,C,20,4,21
,P,1,39,3

Round 9
,G,2,20,10
,C,7,1,31
,P,17,6,6

Round 10
,G,0,0,26
,C,24,19,8
,P,2,17,4

Round 11
,G,1,21,1
,C,17,4,38
,P,3,13,2

Round 12
,G,8,6,0
,C,19,19,17
,P,5,19,7

Round 13
,G,13,12,7
,C,17,14,17
,P,10,10,0

Round 14
,G,14,13,7
,C,20,11,22
,P,0,13,0

Round 15
,G,14,19,5
,C,18,12,19
,P,3,8,2

Round 16
,G,6,15,9
,C,18,5,24
,P,6,13,4

Round 17
,G,7,21,5
,C,5,6,21
,P,21,11,3

Round 18
,G,5,14,5
,C,19,5,20
,P,12,17,3

Round 19
,G,1,22,2
,C,16,5,19
,P,15,19,1

Round 20
,G,0,18,6
,C,11,15,11
,P,10,24,5

Round 21
,G,3,21,8
,C,11,8,12
,P,15,17,5

Round 22
,G,9,13,15
,C,12,9,21
,P,8,10,3

Round 23
,G,9,11,6
,C,11,16,21
,P,4,17,5

Round 24
,G,3,16,13
,C,21,11,14
,P,2,15,5

Round 25
,G,4,13,11
,C,24,6,19
,P,5,13,5

Round 26
,G,5,6,13
,C,19,7,17
,P,7,14,12

Round 27
,G,3,9,7
,C,16,13,21
,P,10,12,9

Round 28
,G,4,8,7
,C,14,16,22
,P,6,16,7

Round 29
,G,0,18,10
,C,6,16,15
,P,8,24,3

Round 30
,G,0,5,13
,C,23,12,24
,P,7,10,6

Round 31
,G,8,15,5
,C,18,13,21
,P,1,15,4

Round 32
,G,2,9,13
,C,20,20,13
,P,6,16,1

Round 33
,G,7,10,13
,C,10,8,10
,P,18,17,7

Round 34
,G,3,11,12
,C,15,7,16
,P,11,23,2

Round 35
,G,5,3,13
,C,10,9,21
,P,9,21,9

Round 36
,G,5,10,9
,C,16,10,15
,P,12,17,6

Round 37
,G,3,10,11
,C,22,10,12
,P,13,10,9

Round 38
,G,3,6,10
,C,22,9,19
,P,14,9,8

Round 39
,G,1,9,11
,C,13,11,19
,P,20,14,2

Round 40
,G,3,6,11
,C,13,12,18
,P,16,14,7

Round 41
,G,2,7,8
,C,17,14,20
,P,17,5,10

Round 42
,G,2,20,6
,C,11,23,18
,P,2,14,4

Round 43
,G,5,14,13
,C,16,8,13
,P,7,13,11

Round 44
,G,6,17,13
,C,9,4,16
,P,6,23,6

Round 45
,G,6,17,12
,C,3,7,20
,P,11,18,6

Round 46
,G,4,3,16
,C,12,3,20
,P,12,15,15

Round 47
,G,6,3,11
,C,7,3,26
,P,13,15,16

Round 48
,G,5,25,6
,C,2,18,15
,P,2,24,3

Round 49
,G,1,18,11
,C,7,9,19
,P,7,21,7

Round 50
,G,2,11,14
,C,6,7,22
,P,11,18,9

Round 51
,G,0,31,7
,C,10,4,22
,P,4,20,2

Round 52
,G,4,11,11
,C,9,7,26
,P,13,11,8

Round 53
,G,4,25,5
,C,13,12,19
,P,4,9,9

Round 54
,G,2,13,11
,C,17,8,22
,P,8,11,8

Round 55
,G,1,20,15
,C,12,9,13
,P,9,14,7

Round 56
,G,5,7,15
,C,13,12,22
,P,9,10,7

Round 57
,G,5,25,16
,C,5,13,18
,P,7,9,2

Round 58
,G,3,4,12
,C,19,10,25
,P,8,10,9

Round 59
,G,2,16,10
,C,19,12,23
,P,6,5,7

Round 60
,G,0,24,8
,C,14,10,28
,P,6,9,1

Round 61
,G,3,18,16
,C,5,7,19
,P,9,15,8

Round 62
,G,3,10,21
,C,6,8,16
,P,12,19,5

Round 63
,G,2,10,17
,C,5,10,19
,P,10,15,12

Round 64
,G,2,7,14
,C,4,10,25
,P,11,15,12

Round 65
,G,7,9,16
,C,11,7,26
,P,5,8,11

Round 66
,G,10,10,8
,C,15,10,23
,P,7,11,6

Round 67
