Round,a\b,G,C,P
Round 1
,G,3,0,0
,C,1,0,0
,P,96,0,0

Round 2
,G,0,0,0
,C,0,0,0
,P,3,95,2

Round 3
,G,0,92,0
,C,0,5,0
,P,0,3,0

Round 4
,G,2,2,59
,C,0,0,0
,P,1,32,4

Round 5
,G,0,33,0
,C,0,0,62
,P,0,1,4

Round 6
,G,2,2,5
,C,31,11,11
,P,7,31,0

Round 7
,G,1,22,0
,C,5,14,19
,P,23,7,9

Round 8
,G,1,2,29
,C,5,5,20
,P,10,26,2

Round 9
,G,3,28,1
,C,12,7,35
,P,4,9,1

Round 10
,G,0,11,22
,C,20,10,16
,P,4,13,4

Round 11
,G,0,20,1
,C,9,10,19
,P,20,19,2

Round 12
,G,2,14,15
,C,18,9,6
,P,6,22,8

Round 13
,G,5,17,11
,C,11,11,24
,P,10,7,4

Round 14
,G,4,12,24
,C,10,11,24
,P,4,8,3

Round 15
,G,1,9,18
,C,4,9,31
,P,8,9,11

Round 16
,G,1,5,57
,C,7,4,14
,P,2,5,5

Round 17
,G,0,1,7
,C,0,0,88
,P,1,0,3

Round 18
,G,0,0,11
,C,31,10,24
,P,9,15,0

Round 19
,G,1,5,3
,C,14,14,25
,P,20,14,4

Round 20
,G,0,11,9
,C,20,8,32
,P,1,19,0

Round 21
,G,4,17,4
,C,9,16,21
,P,6,15,8

Round 22
,G,9,8,11
,C,19,2,34
,P,10,3,4

Round 23
,G,13,5,14
,C,18,0,44
,P,4,0,2

Round 24
,G,13,4,14
,C,20,3,34
,P,3,4,5

Round 25
,G,6,7,6
,C,19,4,37
,P,8,9,4

Round 26
,G,5,1,10
,C,23,16,22
,P,14,8,1

Round 27
,G,7,9,9
,C,17,7,24
,P,13,10,4

Round 28
,G,7,4,5
,C,19,4,23
,P,20,10,8

Round 29
,G,9,5,6
,C,19,6,22
,P,17,12,4

Round 30
,G,6,3,3
,C,18,10,22
,P,21,9,8

Round 31
,G,1,7,2
,C,13,9,25
,P,30,12,1

Round 32
,G,4,5,3
,C,20,7,22
,P,22,15,2

Round 33
,G,4,10,2
,C,6,2,28
,P,33,0,15

Round 34
,G,0,10,3
,C,6,5,22
,P,37,5,12

Round 35
,G,1,13,2
,C,0,2,41
,P,40,0,1

Round 36
,G,10,4,4
,C,8,5,23
,P,25,13,8

Round 37
,G,14,7,0
,C,13,4,27
,P,19,16,0

Round 38
,G,14,5,5
,C,13,6,25
,P,17,15,0

Round 39
,G,6,5,7
,C,4,12,23
,P,22,15,6

Round 40
,G,6,5,7
,C,4,12,24
,P,23,15,4

Round 41
,G,2,6,1
,C,4,8,28
,P,33,10,8

Round 42
,G,2,9,2
,C,14,10,18
,P,7,20,18

Round 43
,G,3,4,0
,C,16,17,14
,P,10,20,16

Round 44
,G,7,3,0
,C,15,20,8
,P,15,26,6

Round 45
,G,2,12,2
,C,15,26,12
,P,23,7,1

Round 46
,G,1,7,0
,C,20,23,7
,P,20,13,9

Round 47
,G,5,8,0
,C,16,18,7
,P,16,24,6

Round 48
,G,5,11,2
,C,12,21,3
,P,12,25,9

Round 49
,G,2,14,2
,C,13,20,5
,P,18,21,5

Round 50
,G,2,13,1
,C,13,21,5
,P,20,21,4

Round 51
,G,4,13,2
,C,12,23,5
,P,20,17,4

Round 52
,G,4,19,3
,C,14,11,7
,P,14,28,0

Round 53
,G,7,20,1
,C,13,22,3
,P,11,22,1

Round 54
,G,3,20,3
,C,16,19,4
,P,14,21,0

Round 55
,G,5,18,3
,C,16,17,5
,P,10,26,0

Round 56
,G,5,20,7
,C,9,15,6
,P,7,31,0

Round 57
,G,3,20,5
,C,13,21,5
,P,15,18,0

Round 58
,G,6,19,3
,C,13,19,5
,P,12,23,0

Round 59
,G,3,24,1
,C,14,31,2
,P,19,6,0

Round 60
,G,1,19,1
,C,12,21,9
,P,17,18,2

Round 61
,G,0,24,0
,C,9,24,8
,P,15,16,4

Round 62
,G,5,17,3
,C,7,12,18
,P,9,29,0

Round 63
,G,4,22,7
,C,6,20,12
,P,9,17,3

Round 64
,G,1,68,2
,C,5,12,1
,P,0,11,0

Round 65
,G,0,72,1
,C,4,9,2
,P,1,11,0

Round 66
,G,2,60,3
,C,4,8,7
,P,3,12,1

Round 67
,G,0,82,2
,C,4,7,2
,P,0,3,0

Round 68
,G,1,67,3
,C,4,10,3
,P,3,8,1

Round 69
,G,0,87,1
,C,3,4,0
,P,1,3,1

Round 70
,G,3,88,1
,C,2,4,0
,P,0,2,0

Round 71
,G,2,55,5
,C,6,12,4
,P,2,12,2

Round 72
,G,6,41,5
,C,8,17,7
,P,5,8,3

Round 73
,G,0,50,7
,C,10,20,2
,P,4,6,1

Round 74
,G,4,25,11
,C,14,12,12
,P,4,17,1

Round 75
,G,1,69,3
,C,5,4,4
,P,3,11,0

Round 76
,G,5,61,4
,C,8,13,0
,P,2,5,2

Round 77
,G,1,66,5
,C,7,11,2
,P,3,5,0

Round 78
,G,2,58,7
,C,4,7,8
,P,0,14,0

Round 79
,G,6,21,5
,C,7,14,14
,P,0,31,2

Round 80
,G,5,47,5
,C,7,17,2
,P,1,14,2

Round 81
,G,4,9,3
,C,17,25,5
,P,13,20,4

Round 82
,G,2,15,8
,C,6,26,3
,P,4,25,11

Round 83
,G,0,88,0
,C,1,4,1
,P,1,4,1

Round 84
,G,2,29,4
,C,10,18,4
,P,7,19,7

Round 85
,G,4,7,3
,C,16,26,8
,P,7,24,5

Round 86
,G,1,9,2
,C,8,32,8
,P,8,24,8

Round 87
,G,1,71,2
,C,4,6,3
,P,3,9,1

Round 88
,G,1,57,2
,C,7,7,7
,P,5,13,1

Round 89
,G,1,32,1
,C,2,27,13
,P,2,22,0

Round 90
,G,2,45,3
,C,11,14,4
,P,5,14,2

Round 91
,G,1,5,1
,C,11,35,10
,P,5,28,4

Round 92
,G,1,20,3
,C,12,26,7
,P,11,18,2

Round 93
,G,5,26,2
,C,13,12,9
,P,13,11,9

Round 94
,G,0,5,1
,C,5,50,5
,P,4,29,1

Round 95
,G,2,36,2
,C,4,27,4
,P,4,19,2

Round 96
,G,1,30,4
,C,10,18,12
,P,6,13,6

Round 97
,G,0,13,2
,C,20,37,6
,P,7,15,0

Round 98
,G,3,7,5
,C,15,21,16
,P,12,12,9

Round 99
,G,3,7,3
,C,13,24,16
,P,9,20,5

Round 100
,G,0,59,2
,C,6,12,5
,P,5,8,3

Round 101
,G,0,9,2
,C,15,35,9
,P,10,20,0

Round 102
,G,1,4,0
,C,7,36,35
,P,1,13,3

Round 103
,G,0,4,1
,C,2,31,35
,P,3,23,1

Round 104
,G,1,23,3
,C,15,36,5
,P,2,14,1

Round 105
,G,0,17,1
,C,13,44,7
,P,2,15,1

Round 106
,G,1,10,3
,C,12,25,24
,P,4,17,4

Round 107
,G,1,14,0
,C,13,45,11
,P,0,14,2

Round 108
,G,2,16,2
,C,17,26,15
,P,5,17,0

Round 109
,G,1,16,4
,C,14,26,14
,P,7,18,0

Round 110
,G,3,17,2
,C,9,15,25
,P,2,19,8

Round 111
,G,0,85,1
,C,2,4,2
,P,0,6,0

Round 112
,G,0,16,3
,C,11,22,17
,P,3,23,5

Round 113
,G,0,23,0
,C,27,37,6
,P,1,5,1

Round 114
,G,0,32,0
,C,34,33,1
,P,0,0,0

Round 115
,G,4,25,4
,C,13,33,7
,P,6,7,1

Round 116
,G,2,18,10
,C,13,24,18
,P,0,14,1

Round 117
,G,0,31,0
,C,15,23,12
,P,7,10,2

Round 118
,G,1,18,0
,C,9,35,17
,P,6,8,6

Round 119
,G,2,26,0
,C,11,21,22
,P,4,8,6

Round 120
,G,0,22,2
,C,6,30,30
,P,3,7,0

Round 121
,G,1,25,2
,C,10,26,19
,P,1,8,8

Round 122
,G,0,9,0
,C,9,19,34
,P,0,18,11

Round 123
,G,1,10,5
,C,13,25,21
,P,2,14,9

Round 124
,G,10,15,5
,C,13,19,23
,P,2,8,5

Round 125
,G,4,18,11
,C,21,12,10
,P,5,12,7

Round 126
,G,0,8,11
,C,18,16,17
,P,2,25,3

Round 127
,G,1,16,8
,C,19,18,17
,P,1,17,3

Round 128
,G,2,14,11
,C,14,21,18
,P,3,13,4

Round 129
,G,4,15,10
,C,13,16,22
,P,3,14,3

Round 130
,G,1,14,10
,C,16,15,25
,P,1,17,1

Round 131
,G,0,14,9
,C,14,13,35
,P,1,8,6

Round 132
,G,5,22,7
,C,9,25,15
,P,1,15,1

Round 133
,G,4,25,5
,C,12,30,8
,P,3,11,2

Round 134
,G,4,16,11
,C,16,17,20
,P,3,9,4

Round 135
,G,2,17,10
,C,10,32,11
,P,8,7,3

Round 136
,G,3,13,16
,C,20,22,9
,P,6,8,3

Round 137
,G,0,15,14
,C,25,16,12
,P,4,11,3

Round 138
,G,1,10,14
,C,19,18,13
,P,4,19,2

Round 139
,G,0,31,0
,C,2,31,1
,P,0,33,2

Round 140
,G,0,17,8
,C,12,19,21
,P,2,11,10

Round 141
,G,0,25,1
,C,1,2,45
,P,0,23,3

Round 142
,G,8,11,11
,C,4,7,26
,P,2,28,3

Round 143
,G,3,10,8
,C,10,9,34
,P,2,21,3

Round 144
,G,2,5,2
,C,3,9,41
,P,2,31,5

Round 145
,G,4,9,15
,C,10,9,30
,P,5,9,9

Round 146
,G,5,11,11
,C,12,17,25
,P,1,15,3

Round 147
,G,0,7,4
,C,1,6,43
,P,1,36,2

Round 148
,G,5,7,5
,C,3,2,37
,P,4,34,3

Round 149
,G,1,17,12
,C,10,16,23
,P,2,16,3

Round 150
,G,0,1,1
,C,0,3,48
,P,0,47,0

Round 151
,G,12,22,4
,C,5,24,15
,P,4,12,2

Round 152
,G,1,20,5
,C,3,8,36
,P,3,19,5

Round 153
,G,0,15,0
,C,3,19,32
,P,0,31,0

Round 154
,G,2,19,11
,C,12,17,25
,P,1,12,1

Round 155
,G,0,13,3
,C,5,9,35
,P,1,32,2

Round 156
,G,3,7,12
,C,7,8,33
,P,4,23,3

Round 157
,G,4,14,6
,C,6,4,38
,P,1,25,2

Round 158
,G,3,12,11
,C,14,9,31
,P,2,15,3

Round 159
,G,1,14,7
,C,14,10,28
,P,3,21,2

Round 160
,G,3,9,6
,C,7,8,33
,P,2,28,4

Round 161
,G,0,9,7
,C,6,18,25
,P,5,25,5

Round 162
,G,7,13,11
,C,3,16,30
,P,5,15,0

Round 163
,G,5,12,14
,C,8,11,21
,P,9,19,1

Round 164
,G,4,13,15
,C,14,16,14
,P,12,5,7

Round 165
,G,5,17,3
,C,10,12,12
,P,21,12,8

Round 166
,G,8,15,14
,C,14,11,19
,P,3,13,3

Round 167
,G,11,21,3
,C,13,8,12
,P,15,9,8

Round 168
,G,11,16,13
,C,15,11,16
,P,5,7,6

Round 169
,G,5,19,9
,C,16,19,16
,P,0,5,11

Round 170
,G,4,7,9
,C,9,21,23
,P,11,10,6

Round 171
,G,9,11,18
