Round,a\b,G,C,P
Round 1
,G,0,97,0
,C,0,1,0
,P,0,2,0

Round 2
,G,2,2,96
,C,0,0,0
,P,0,0,0

Round 3
,G,0,0,64
,C,0,13,23
,P,0,0,0

Round 4
,G,32,31,2
,C,1,3,31
,P,0,0,0

Round 5
,G,15,9,10
,C,9,14,9
,P,9,10,15

Round 6
,G,3,27,3
,C,2,4,28
,P,26,3,4

Round 7
,G,0,33,0
,C,0,0,34
,P,33,0,0

Round 8
,G,16,13,4
,C,4,16,14
,P,13,4,16

Round 9
,G,0,20,14
,C,14,0,20
,P,19,13,0

Round 10
,G,4,24,5
,C,6,4,24
,P,23,5,5

Round 11
,G,19,15,0
,C,0,18,14
,P,14,0,20

Round 12
,G,13,14,6
,C,7,13,14
,P,14,6,13

Round 13
,G,5,10,18
,C,18,6,10
,P,10,17,6

Round 14
,G,11,17,5
,C,5,10,19
,P,18,5,10

Round 15
,G,7,20,7
,C,6,7,19
,P,20,6,8

Round 16
,G,21,11,1
,C,1,22,11
,P,11,0,22

Round 17
,G,3,27,4
,C,4,3,27
,P,26,3,3

Round 18
,G,7,12,14
,C,12,9,13
,P,12,13,8

Round 19
,G,0,11,23
,C,21,0,11
,P,12,22,0

Round 20
,G,1,12,20
,C,20,1,13
,P,12,21,0

Round 21
,G,17,17,17
,C,0,0,1
,P,16,16,16

Round 22
,G,20,2,28
,C,0,0,1
,P,29,2,18

Round 23
,G,20,1,28
,C,1,0,3
,P,28,0,19

Round 24
,G,0,1,49
,C,0,0,1
,P,49,0,0

Round 25
,G,21,1,27
,C,0,0,1
,P,28,0,22

Round 26
,G,0,3,47
,C,0,0,1
,P,49,0,0

Round 27
,G,29,1,21
,C,1,0,1
,P,19,0,28

Round 28
,G,13,1,36
,C,0,0,1
,P,35,1,13

Round 29
,G,31,1,18
,C,1,0,1
,P,17,0,31

Round 30
,G,24,1,25
,C,0,0,1
,P,25,0,24

Round 31
,G,19,0,31
,C,1,0,1
,P,30,0,18

Round 32
,G,25,1,24
,C,0,0,0
,P,24,0,26

Round 33
,G,0,1,49
,C,1,0,1
,P,48,0,0

Round 34
,G,32,1,17
,C,0,0,1
,P,17,0,32

Round 35
,G,17,0,31
,C,1,0,1
,P,32,0,18

Round 36
,G,34,0,16
,C,0,0,0
,P,17,0,33

Round 37
,G,48,0,2
,C,0,0,2
,P,2,0,46

Round 38
,G,27,0,23
,C,0,0,0
,P,21,1,28

Round 39
,G,32,0,18
,C,0,0,1
,P,18,0,31

Round 40
,G,9,2,39
,C,0,0,1
,P,39,0,10

Round 41
,G,23,0,26
,C,1,0,3
,P,26,0,21

Round 42
,G,0,1,48
,C,1,0,1
,P,48,1,0

Round 43
,G,2,4,44
,C,0,0,0
,P,46,0,4

Round 44
,G,1,6,43
,C,0,0,0
,P,46,0,4

Round 45
,G,17,1,23
,C,1,16,1
,P,23,1,17

Round 46
,G,0,1,49
,C,0,0,1
,P,49,0,0

Round 47
,G,6,5,35
,C,3,5,1
,P,36,0,9

Round 48
,G,0,1,48
,C,2,0,0
,P,46,2,1

Round 49
,G,0,2,47
,C,1,0,1
,P,48,0,1

Round 50
,G,2,5,43
,C,0,0,0
,P,45,0,5

Round 51
,G,3,3,44
,C,3,0,0
,P,42,1,4

Round 52
,G,1,2,46
,C,1,0,0
,P,47,1,2

Round 53
,G,0,1,49
,C,0,0,0
,P,49,0,1

Round 54
,G,1,3,46
,C,0,0,0
,P,48,0,2

Round 55
,G,3,6,40
,C,2,1,0
,P,41,0,7

Round 56
,G,0,1,48
,C,1,0,0
,P,48,1,1

Round 57
,G,3,6,41
,C,2,0,0
,P,42,0,6

Round 58
,G,1,4,45
,C,0,0,0
,P,48,0,2

Round 59
,G,0,1,49
,C,0,0,0
,P,49,0,1

Round 60
,G,2,0,48
,C,0,0,0
,P,48,0,2

Round 61
,G,46,0,4
,C,1,0,0
,P,3,0,46

Round 62
,G,11,1,38
,C,0,0,0
,P,39,0,11

Round 63
,G,18,0,30
,C,0,0,2
,P,32,0,18

Round 64
,G,24,0,26
,C,0,0,0
,P,25,1,24

Round 65
,G,15,0,35
,C,2,0,0
,P,33,0,15

Round 66
,G,34,0,16
,C,0,0,0
,P,16,1,33

Round 67
,G,28,0,23
,C,0,0,1
,P,22,0,26

Round 68
,G,25,1,24
,C,0,0,0
,P,24,1,25

Round 69
,G,45,0,6
,C,0,0,1
,P,5,0,43

Round 70
,G,45,0,5
,C,0,0,0
,P,5,2,43

Round 71
,G,38,0,13
,C,1,0,1
,P,11,0,36

Round 72
,G,11,2,37
,C,0,0,0
,P,38,1,11

Round 73
,G,39,0,10
,C,2,0,0
,P,9,0,40

Round 74
,G,41,1,8
,C,0,0,0
,P,8,1,41

Round 75
,G,28,0,22
,C,0,0,0
,P,22,0,28

Round 76
,G,41,1,8
,C,0,0,0
,P,8,2,40

Round 77
,G,35,0,14
,C,1,0,0
,P,14,0,36

Round 78
,G,30,1,19
,C,0,0,0
,P,18,3,29

Round 79
,G,33,0,16
,C,1,0,2
,P,16,0,32

Round 80
,G,37,0,13
,C,0,0,0
,P,13,0,37

Round 81
,G,50,0,0
,C,0,0,1
,P,0,0,49

Round 82
,G,38,2,10
,C,0,0,0
,P,10,1,39

Round 83
,G,31,0,18
,C,0,0,1
,P,19,0,31

Round 84
,G,33,0,17
,C,0,0,0
,P,17,1,32

Round 85
,G,38,0,11
,C,0,0,0
,P,12,0,39

Round 86
,G,29,1,20
,C,0,0,0
,P,19,1,30

Round 87
,G,9,0,41
,C,1,0,0
,P,40,0,9

Round 88
,G,37,0,13
,C,0,0,0
,P,13,0,37

Round 89
,G,38,0,12
,C,2,0,0
,P,10,0,38

Round 90
,G,27,0,23
