Round,a\b,G,C,P
Round 1
,G,4,1,0
,C,0,0,0
,P,94,1,0

Round 2
,G,0,0,1
,C,0,0,0
,P,0,97,2

Round 3
,G,0,95,1
,C,0,0,0
,P,0,4,0

Round 4
,G,1,3,91
,C,0,0,0
,P,0,2,3

Round 5
,G,0,47,0
,C,0,3,49
,P,0,1,0

Round 6
,G,4,2,29
,C,23,18,4
,P,0,12,8

Round 7
,G,4,12,16
,C,9,12,22
,P,11,7,7

Round 8
,G,11,1,20
,C,16,13,21
,P,2,15,1

Round 9
,G,0,3,10
,C,4,6,45
,P,12,9,11

Round 10
,G,0,8,9
,C,17,14,29
,P,9,13,1

Round 11
,G,0,12,3
,C,6,15,36
,P,17,8,3

Round 12
,G,1,5,9
,C,22,13,19
,P,7,21,3

Round 13
,G,0,16,5
,C,12,9,25
,P,15,17,1

Round 14
,G,3,3,3
,C,29,23,10
,P,2,27,0

Round 15
,G,4,17,8
,C,12,11,18
,P,11,17,2

Round 16
,G,5,16,10
,C,22,12,7
,P,5,22,1

Round 17
,G,5,17,6
,C,23,16,12
,P,5,15,1

Round 18
,G,3,14,7
,C,30,8,16
,P,4,14,4

Round 19
,G,5,17,8
,C,18,6,13
,P,12,19,2

Round 20
,G,10,12,10
,C,10,9,17
,P,8,22,2

Round 21
,G,3,14,4
,C,18,10,25
,P,7,15,4

Round 22
,G,7,9,6
,C,22,28,13
,P,0,12,3

Round 23
,G,5,11,9
,C,17,14,19
,P,10,11,4

Round 24
,G,7,15,12
,C,8,15,15
,P,20,5,3

Round 25
,G,1,18,7
,C,4,5,13
,P,28,19,5

Round 26
,G,1,22,10
,C,2,1,6
,P,34,23,1

Round 27
,G,5,17,1
,C,19,7,23
,P,13,11,4

Round 28
,G,4,7,12
,C,10,7,20
,P,13,21,6

Round 29
,G,4,8,7
,C,9,5,26
,P,22,11,8

Round 30
,G,2,5,10
,C,20,8,14
,P,12,24,5

Round 31
,G,3,5,9
,C,13,10,18
,P,19,17,6

Round 32
,G,3,9,14
,C,14,10,19
,P,14,10,7

Round 33
,G,4,10,4
,C,6,6,13
,P,25,22,10

Round 34
,G,3,8,11
,C,9,5,11
,P,15,25,13

Round 35
,G,4,11,6
,C,16,17,18
,P,8,10,10

Round 36
,G,4,11,15
,C,12,13,14
,P,11,15,5

Round 37
,G,4,10,4
,C,12,15,21
,P,14,15,5

Round 38
,G,2,7,18
,C,14,8,15
,P,19,11,6

Round 39
,G,0,2,7
,C,20,5,36
,P,20,7,3

Round 40
,G,3,6,5
,C,12,10,13
,P,9,36,6

Round 41
,G,3,17,6
,C,10,11,14
,P,16,11,12

Round 42
,G,12,8,6
,C,8,16,14
,P,8,25,3

Round 43
,G,9,10,12
,C,10,13,11
,P,4,26,5

Round 44
,G,11,17,7
,C,12,14,14
,P,6,15,4

Round 45
,G,8,11,9
,C,14,14,11
,P,10,19,4

Round 46
,G,7,13,7
,C,10,18,11
,P,4,25,5

Round 47
,G,3,19,10
,C,10,13,10
,P,8,22,5

Round 48
,G,0,10,21
,C,5,17,5
,P,4,36,2

Round 49
,G,4,11,9
,C,6,14,14
,P,11,23,8

Round 50
,G,8,10,8
,C,9,14,14
,P,9,22,6

Round 51
,G,6,15,8
,C,11,15,10
,P,8,18,9

Round 52
,G,7,16,8
,C,12,16,10
,P,3,21,7

Round 53
,G,7,13,9
,C,12,15,15
,P,9,16,4

Round 54
,G,6,13,10
,C,12,16,9
,P,5,23,6

Round 55
,G,3,14,10
,C,9,17,9
,P,12,22,4

Round 56
,G,1,16,10
,C,10,6,14
,P,10,25,8

Round 57
,G,3,11,10
,C,10,11,13
,P,15,21,6

Round 58
,G,2,16,7
,C,10,10,17
,P,10,22,6

Round 59
,G,3,16,10
,C,11,8,13
,P,12,19,8

Round 60
,G,5,16,10
,C,10,10,10
,P,12,19,8

Round 61
,G,9,18,12
,C,13,11,6
,P,7,17,7

Round 62
,G,7,6,11
,C,15,12,11
,P,18,12,8

Round 63
,G,5,12,13
,C,10,10,14
,P,7,23,6

Round 64
,G,4,6,8
,C,19,8,21
,P,19,11,4

Round 65
,G,10,7,19
,C,4,4,17
,P,10,20,9

Round 66
,G,5,20,9
,C,10,6,11
,P,16,21,2

Round 67
,G,13,9,13
,C,9,14,10
,P,13,17,2

Round 68
,G,4,23,9
,C,11,10,8
,P,13,16,6

Round 69
,G,3,20,9
,C,7,9,22
,P,12,13,5

Round 70
,G,6,16,8
,C,15,15,12
,P,10,14,4

Round 71
,G,6,11,12
,C,6,9,18
,P,11,24,3

Round 72
,G,5,11,14
,C,12,7,13
,P,11,20,7

Round 73
,G,2,16,12
,C,2,11,16
,P,12,22,7

Round 74
,G,4,14,18
,C,5,13,10
,P,10,20,6

Round 75
,G,7,10,19
,C,9,3,14
,P,12,19,7

Round 76
,G,9,15,17
,C,9,5,8
,P,11,23,3

Round 77
,G,4,20,11
,C,4,12,12
,P,20,15,2

Round 78
,G,5,14,15
,C,5,12,11
,P,16,16,6

Round 79
,G,4,16,11
,C,7,10,17
,P,12,18,5

Round 80
,G,2,14,17
,C,8,10,10
,P,17,18,4

Round 81
,G,4,13,11
,C,9,13,15
,P,20,11,4

Round 82
,G,0,13,11
,C,12,17,15
,P,4,16,12

Round 83
,G,1,9,7
,C,9,24,17
,P,7,14,12

Round 84
,G,2,8,3
,C,9,11,31
,P,7,19,10

Round 85
,G,2,8,8
,C,9,14,21
,P,10,19,9

Round 86
,G,5,10,10
,C,13,14,14
,P,7,20,7

Round 87
,G,1,14,3
,C,8,17,24
,P,9,13,11

Round 88
,G,0,9,6
,C,14,16,28
,P,8,12,7

Round 89
,G,0,10,9
,C,9,14,22
,P,7,19,10

Round 90
,G,6,17,8
,C,10,11,19
,P,9,14,6

Round 91
,G,0,11,4
,C,16,7,22
,P,8,22,10

Round 92
,G,3,9,7
,C,10,12,21
,P,7,19,12

Round 93
,G,3,10,10
,C,10,14,24
,P,7,14,8

Round 94
,G,2,11,10
,C,11,19,20
,P,12,13,2

Round 95
,G,0,11,3
,C,21,8,26
,P,3,17,11

Round 96
,G,6,13,7
,C,8,17,22
,P,6,14,7

Round 97
,G,2,11,4
,C,12,17,24
,P,9,14,7

Round 98
,G,7,4,4
,C,18,16,39
,P,2,8,2

Round 99
,G,7,5,4
,C,15,17,21
,P,6,16,9

Round 100
,G,7,9,2
,C,15,11,29
,P,2,12,13

Round 101
,G,3,11,2
,C,14,7,24
,P,3,24,12

Round 102
,G,1,3,4
,C,17,14,21
,P,6,21,13

Round 103
,G,4,4,2
,C,12,7,23
,P,11,26,11

Round 104
,G,5,5,3
,C,7,19,20
,P,5,24,12

Round 105
,G,8,9,1
,C,8,16,13
,P,2,25,18

Round 106
,G,3,8,6
,C,9,14,21
,P,4,24,11

Round 107
,G,1,8,4
,C,8,13,18
,P,9,26,13

Round 108
,G,0,7,0
,C,14,10,18
,P,7,33,11

Round 109
,G,1,17,0
,C,13,3,20
,P,14,28,4

Round 110
,G,0,5,10
,C,3,12,22
,P,14,29,5

Round 111
,G,0,4,12
,C,4,13,20
,P,12,30,5

Round 112
,G,0,10,3
,C,10,16,17
,P,12,26,6

