Round,a\b,G,C,P
Round 1
,G,0,2,93
,C,0,0,5
,P,0,0,0

Round 2
,G,0,0,0
,C,61,3,36
,P,0,0,0

Round 3
,G,0,0,0
,C,98,0,2
,P,0,0,0

Round 4
,G,0,0,0
,C,10,0,0
,P,86,1,3

Round 5
,G,1,14,14
,C,1,17,31
,P,0,21,1

Round 6
,G,0,9,1
,C,20,15,11
,P,2,39,3

Round 7
,G,1,18,17
,C,34,2,3
,P,2,23,0

Round 8
,G,0,21,11
,C,22,9,23
,P,0,14,0

Round 9
,G,11,5,10
,C,26,19,13
,P,0,15,1

Round 10
,G,4,20,1
,C,43,2,5
,P,1,24,0

Round 11
,G,17,6,1
,C,41,5,3
,P,10,16,1

Round 12
,G,3,14,10
,C,36,6,10
,P,5,16,0

Round 13
,G,2,17,11
,C,42,0,0
,P,17,11,0

Round 14
,G,2,3,18
,C,37,1,11
,P,10,18,0

Round 15
,G,0,0,21
,C,25,2,7
,P,20,21,4

Round 16
,G,1,9,11
,C,21,6,12
,P,26,12,2

Round 17
,G,7,5,3
,C,13,9,12
,P,33,12,6

Round 18
,G,2,4,7
,C,9,11,14
,P,29,14,10

Round 19
,G,1,16,2
,C,19,5,16
,P,24,15,2

Round 20
,G,12,1,3
,C,4,18,11
,P,25,18,8

Round 21
,G,5,11,10
,C,13,4,11
,P,21,18,7

Round 22
,G,12,5,6
,C,10,5,16
,P,17,24,5

Round 23
,G,5,10,8
,C,15,3,18
,P,12,26,3

Round 24
,G,8,1,10
,C,12,1,8
,P,21,26,13

Round 25
,G,4,3,8
,C,19,3,3
,P,19,24,17

Round 26
,G,2,12,9
,C,22,1,7
,P,21,16,10

Round 27
,G,1,11,10
,C,22,1,8
,P,19,18,10

Round 28
,G,1,11,18
,C,21,4,4
,P,29,7,5

Round 29
,G,1,3,34
,C,7,2,2
,P,42,5,4

Round 30
,G,0,10,10
,C,18,1,1
,P,40,11,9

Round 31
,G,10,2,30
,C,0,0,0
,P,46,5,7

Round 32
,G,2,2,25
,C,0,0,0
,P,49,1,21

Round 33
,G,3,1,23
,C,0,0,0
,P,45,1,27

Round 34
,G,1,1,48
,C,0,0,1
,P,48,0,1

Round 35
,G,1,1,48
,C,0,0,1
,P,46,2,1

Round 36
,G,5,3,39
,C,0,0,1
,P,45,1,6

Round 37
,G,7,3,34
,C,0,0,0
,P,38,8,10

Round 38
,G,2,1,46
,C,1,0,2
,P,43,3,2

Round 39
,G,2,1,43
,C,0,0,0
,P,40,11,3

Round 40
,G,3,1,39
,C,0,0,0
,P,46,5,6

Round 41
,G,4,5,14
,C,1,0,8
,P,44,10,14

Round 42
,G,4,1,14
,C,0,0,11
,P,36,15,19

Round 43
,G,4,0,15
,C,1,0,9
,P,33,19,19

Round 44
,G,0,4,21
,C,0,6,13
,P,41,10,5

Round 45
,G,0,8,17
,C,6,4,13
,P,40,7,5

Round 46
,G,0,3,18
,C,3,4,16
,P,37,15,4

Round 47
,G,2,1,12
,C,7,2,11
,P,27,24,14

Round 48
,G,0,0,15
,C,1,1,29
,P,24,27,3

Round 49
,G,0,1,23
,C,2,0,23
,P,27,23,1

Round 50
,G,1,4,13
,C,0,4,9
,P,17,33,19

Round 51
,G,1,1,20
,C,0,2,15
,P,22,26,13

Round 52
,G,0,1,23
,C,3,2,22
,P,18,27,4

Round 53
,G,0,0,22
,C,0,1,10
,P,20,30,17

Round 54
,G,2,1,19
,C,1,1,10
,P,17,33,16

Round 55
,G,0,0,20
,C,1,1,11
,P,18,32,17

Round 56
,G,0,1,24
,C,0,1,14
,P,12,42,6

Round 57
