Round,a\b,G,C,P
Round 1
,G,8,4,0
,C,51,10,0
,P,18,9,0

Round 2
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 3
,G,4,0,0
,C,74,7,0
,P,11,4,0

Round 4
,G,2,0,0
,C,71,12,0
,P,10,5,0

Round 5
,G,1,0,0
,C,82,4,0
,P,8,5,0

Round 6
,G,0,0,0
,C,83,5,0
,P,6,6,0

Round 7
,G,2,0,0
,C,77,7,0
,P,9,5,0

Round 8
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 9
,G,0,1,0
,C,75,13,0
,P,8,3,0

Round 10
,G,0,1,0
,C,66,12,0
,P,15,6,0

Round 11
,G,8,4,0
,C,51,10,0
,P,18,9,0

Round 12
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 13
,G,4,0,0
,C,74,7,0
,P,11,4,0

Round 14
,G,2,0,0
,C,71,12,0
,P,10,5,0

Round 15
,G,1,0,0
,C,82,4,0
,P,8,5,0

Round 16
,G,0,0,0
,C,83,5,0
,P,6,6,0

Round 17
,G,2,0,0
,C,77,7,0
,P,9,5,0

Round 18
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 19
,G,0,1,0
,C,75,13,0
,P,8,3,0

Round 20
,G,0,1,0
,C,66,12,0
,P,15,6,0

Round 21
,G,8,4,0
,C,51,10,0
,P,18,9,0

Round 22
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 23
,G,4,0,0
,C,74,7,0
,P,11,4,0

Round 24
,G,2,0,0
,C,71,12,0
,P,10,5,0

Round 25
,G,1,0,0
,C,82,4,0
,P,8,5,0

Round 26
,G,0,0,0
,C,83,5,0
,P,6,6,0

Round 27
,G,2,0,0
,C,77,7,0
,P,9,5,0

Round 28
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 29
,G,0,1,0
,C,75,13,0
,P,8,3,0

Round 30
,G,0,1,0
,C,66,12,0
,P,15,6,0

Round 31
,G,8,4,0
,C,51,10,0
,P,18,9,0

Round 32
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 33
,G,4,0,0
,C,74,7,0
,P,11,4,0

Round 34
,G,2,0,0
,C,71,12,0
,P,10,5,0

Round 35
,G,1,0,0
,C,82,4,0
,P,8,5,0

Round 36
,G,0,0,0
,C,83,5,0
,P,6,6,0

Round 37
,G,2,0,0
,C,77,7,0
,P,9,5,0

Round 38
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 39
,G,0,1,0
,C,75,13,0
,P,8,3,0

Round 40
,G,0,1,0
,C,66,12,0
,P,15,6,0

Round 41
,G,8,4,0
,C,51,10,0
,P,18,9,0

Round 42
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 43
,G,4,0,0
,C,74,7,0
,P,11,4,0

Round 44
,G,2,0,0
,C,71,12,0
,P,10,5,0

Round 45
,G,1,0,0
,C,82,4,0
,P,8,5,0

Round 46
,G,0,0,0
,C,83,5,0
,P,6,6,0

Round 47
,G,2,0,0
,C,77,7,0
,P,9,5,0

Round 48
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 49
,G,0,1,0
,C,75,13,0
,P,8,3,0

Round 50
,G,0,1,0
,C,66,12,0
,P,15,6,0

Round 51
,G,8,4,0
,C,51,10,0
,P,18,9,0

Round 52
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 53
,G,4,0,0
,C,74,7,0
,P,11,4,0

Round 54
,G,2,0,0
,C,71,12,0
,P,10,5,0

Round 55
,G,1,0,0
,C,82,4,0
,P,8,5,0

Round 56
,G,0,0,0
,C,83,5,0
,P,6,6,0

Round 57
,G,2,0,0
,C,77,7,0
,P,9,5,0

Round 58
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 59
,G,0,1,0
,C,75,13,0
,P,8,3,0

Round 60
,G,0,1,0
,C,66,12,0
,P,15,6,0

Round 61
,G,8,4,0
,C,51,10,0
,P,18,9,0

Round 62
,G,0,0,0
,C,83,6,0
,P,6,5,0

Round 63
,G,4,0,0
,C,74,7,0
,P,11,4,0

Round 64
,G,2,0,0
,C,71,12,0
,P,10,5,0

Round 65
,G,1,0,0
,C,82,4,0
,P,8,5,0

Round 66
,G,0,0,0
,C,83,5,0
,P,6,6,0

Round 67
,G,2,0,0
,C,77,7,0
