Round,a\b,G,C,P
Round 1
,G,0,0,36
,C,0,0,22
,P,0,0,42

Round 2
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 3
,G,0,0,49
,C,0,0,2
,P,0,0,49

Round 4
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 5
,G,0,0,49
,C,0,0,3
,P,0,0,48

Round 6
,G,0,0,50
,C,0,0,1
,P,0,0,49

Round 7
,G,0,0,50
,C,0,0,1
,P,0,0,49

Round 8
,G,0,0,50
,C,0,0,2
,P,0,0,48

Round 9
,G,0,0,49
,C,0,0,1
,P,0,0,50

Round 10
,G,0,0,50
,C,0,0,3
,P,0,0,47

Round 11
,G,0,0,36
,C,0,0,22
,P,0,0,42

Round 12
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 13
,G,0,0,49
,C,0,0,2
,P,0,0,49

Round 14
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 15
,G,0,0,49
,C,0,0,3
,P,0,0,48

Round 16
,G,0,0,50
,C,0,0,1
,P,0,0,49

Round 17
,G,0,0,50
,C,0,0,1
,P,0,0,49

Round 18
,G,0,0,50
,C,0,0,2
,P,0,0,48

Round 19
,G,0,0,49
,C,0,0,1
,P,0,0,50

Round 20
,G,0,0,50
,C,0,0,3
,P,0,0,47

Round 21
,G,0,0,36
,C,0,0,22
,P,0,0,42

Round 22
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 23
,G,0,0,49
,C,0,0,2
,P,0,0,49

Round 24
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 25
,G,0,0,49
,C,0,0,3
,P,0,0,48

Round 26
,G,0,0,50
,C,0,0,1
,P,0,0,49

Round 27
,G,0,0,50
,C,0,0,1
,P,0,0,49

Round 28
,G,0,0,50
,C,0,0,2
,P,0,0,48

Round 29
,G,0,0,49
,C,0,0,1
,P,0,0,50

Round 30
,G,0,0,50
,C,0,0,3
,P,0,0,47

Round 31
,G,0,0,36
,C,0,0,22
,P,0,0,42

Round 32
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 33
,G,0,0,49
,C,0,0,2
,P,0,0,49

Round 34
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 35
,G,0,0,49
,C,0,0,3
,P,0,0,48

Round 36
,G,0,0,50
,C,0,0,1
,P,0,0,49

Round 37
,G,0,0,50
,C,0,0,1
,P,0,0,49

Round 38
,G,0,0,50
,C,0,0,2
,P,0,0,48

Round 39
,G,0,0,49
,C,0,0,1
,P,0,0,50

Round 40
,G,0,0,50
,C,0,0,3
,P,0,0,47

Round 41
,G,0,0,36
,C,0,0,22
,P,0,0,42

Round 42
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 43
,G,0,0,49
,C,0,0,2
,P,0,0,49

Round 44
,G,0,0,50
,C,0,0,0
,P,0,0,50

Round 45
,G,0,0,49
